% run#
% track1: exppar1 exppar2;
      41
      9.00000000   6100.00000000
      5.00000000    300.00000000
      3.00000000    300.00000000
      3.00000000   6100.00000000
     15.00000000   6100.00000000
     15.00000000    300.00000000
      9.00000000    300.00000000
      5.00000000   6100.00000000
     15.00000000    300.00000000
      5.00000000    300.00000000
      9.00000000    300.00000000
      9.00000000   6100.00000000
      3.00000000   6100.00000000
      5.00000000   6100.00000000
     15.00000000   6100.00000000
      3.00000000    300.00000000
      5.00000000   6100.00000000
      3.00000000    300.00000000
      3.00000000   6100.00000000
     15.00000000   6100.00000000
      9.00000000    300.00000000
      5.00000000    300.00000000
     15.00000000    300.00000000
      9.00000000   6100.00000000
      9.00000000   6100.00000000
     15.00000000   6100.00000000
      9.00000000    300.00000000
     15.00000000    300.00000000
      3.00000000   6100.00000000
      3.00000000    300.00000000
      5.00000000   6100.00000000
      5.00000000    300.00000000
      5.00000000    300.00000000
      9.00000000    300.00000000
     15.00000000    300.00000000
      3.00000000    300.00000000
      9.00000000   6100.00000000
      5.00000000   6100.00000000
     15.00000000   6100.00000000
      3.00000000   6100.00000000
      5.00000000   6100.00000000
      3.00000000    300.00000000
      5.00000000    300.00000000
      9.00000000    300.00000000
      9.00000000   6100.00000000
     15.00000000    300.00000000
      3.00000000   6100.00000000
     15.00000000   6100.00000000
