"","n_comp","freq","threshold","sd","subj"
"138",9,"6100",13,0,"x32"
"139",5,"6100",2,2.29128785,"x32"
"140",5,"300",-5.375,0.80039053,"x32"
"141",3,"300",-8.625,0.80039053,"x32"
"142",5,"6100",7.875,0.91001374,"x32"
"143",15,"6100",7.625,0.375,"x32"
"144",15,"300",-1,0.75,"x32"
"145",9,"6100",-1.375,1.82431494,"x32"
"146",1,"300",-10.375,0.71807033,"x32"
"147",9,"300",-7.125,1.17924764,"x32"
"148",5,"300",-3,1.03077641,"x32"
"149",3,"6100",-1.25,2.31840462,"x32"
"150",1,"6100",0.375,1.46308749,"x32"
"151",9,"6100",13,0,"x32"
"152",15,"6100",13,0,"x32"
"153",5,"300",-5.5,1.5612495,"x32"
"154",1,"6100",-2.625,1.39754249,"x32"
"155",1,"300",-11.75,1.11803399,"x32"
"156",9,"300",-5.125,0.71807033,"x32"
"157",5,"6100",13,0,"x32"
"158",3,"300",-6.125,0.80039053,"x32"
"159",15,"300",3,0.93541435,"x32"
"160",3,"6100",-1,1.5612495,"x32"
"161",1,"300",-12.875,3.60771742,"x34"
"162",5,"6100",5.70833333,3.75115723,"x34"
"163",15,"300",2.75,0.55901699,"x34"
"164",9,"6100",13,0,"x34"
"165",5,"300",-3.375,0.91001374,"x34"
"166",15,"6100",13,0,"x34"
"167",3,"6100",4.625,1.28086885,"x34"
"168",3,"300",-7.125,1.17924764,"x34"
"169",9,"300",-3.375,0.5153882,"x34"
"170",1,"6100",-5.375,1.90804219,"x34"
"171",9,"6100",13,0,"x34"
"172",9,"300",-7.25,0.55901699,"x34"
"173",5,"300",-13,1.22474487,"x34"
"174",1,"300",-14.875,1.28086885,"x34"
"175",5,"6100",7.75,0.96824584,"x34"
"176",15,"300",-7,0.8660254,"x34"
"177",15,"6100",13,0,"x34"
"178",3,"300",-11.125,0.71807033,"x34"
"179",1,"6100",-9.5,1.82002747,"x34"
"180",3,"6100",0.5,0.61237244,"x34"
"181",5,"6100",0.125,1.66301684,"x34"
"182",15,"300",-4.875,1.32876823,"x34"
"183",3,"300",-10.625,1.17924764,"x34"
"184",5,"300",-9.125,1.90804219,"x34"
"185",1,"300",-13.375,3.2040014,"x34"
"186",9,"6100",13,0,"x34"
"187",9,"300",-7.25,0.93541435,"x34"
"188",1,"6100",-6.75,0.93541435,"x34"
"189",15,"6100",9,1.03077641,"x34"
"190",3,"6100",4.125,0.80039053,"x34"
"191",5,"300",-16.375,1.28086885,"x34"
"192",3,"300",-10.75,1.5612495,"x34"
"193",9,"300",-7.125,1.17924764,"x34"
"194",15,"300",-2.5,1.06066017,"x34"
"195",1,"300",-14.5,1.93649167,"x34"
"196",3,"6100",-5.125,2.23955911,"x34"
"197",9,"6100",5.5,1.87082869,"x34"
"198",15,"6100",13,0,"x34"
"199",5,"6100",4.875,0.80039053,"x34"
"200",1,"6100",-4.875,1.17924764,"x34"
"201",9,"6100",13,0,"x34"
"202",5,"6100",8.83333333,0.73124703,"x34"
"203",1,"6100",-6.75,1.6583124,"x34"
"204",15,"300",-3,2.01556444,"x34"
"205",15,"6100",3.70833333,3.59228533,"x34"
