"","freq","threshold","sd","NA","subj"
"106",300,37.83333333,1.77169097,NA,"x16"
"107",16100,40.83333333,1.34370962,NA,"x16"
"108",6100,40,0.81649658,NA,"x16"
"109",9909,51,1.41421356,NA,"x17"
"110",798,41.16666667,0.68718427,NA,"x17"
"111",6100,42.66666667,0.74535599,NA,"x17"
"112",300,39.16666667,2.67186992,NA,"x17"
"113",487,42.66666667,0.74535599,NA,"x17"
"114",16100,43.66666667,1.1055416,NA,"x17"
"115",6100,40.16666667,1.06718737,NA,"x17"
"116",487,42.33333333,1.49071198,NA,"x17"
"117",300,42.33333333,1.1055416,NA,"x17"
"118",16100,43.33333333,0.74535599,NA,"x17"
"119",9909,47.5,1.25830574,NA,"x17"
"120",798,39.16666667,1.77169097,NA,"x17"
"121",300,45,1,NA,"x18"
"122",9909,41.33333333,1.1055416,NA,"x18"
"123",6100,44.16666667,1.06718737,NA,"x18"
"124",16100,49.33333333,1.37436854,NA,"x18"
"125",798,39.83333333,1.34370962,NA,"x18"
"126",487,42.33333333,0.94280904,NA,"x18"
"127",487,43.66666667,1.69967317,NA,"x18"
"128",9909,41.5,1.5,NA,"x18"
"129",300,43,0.81649658,NA,"x18"
"130",798,43.16666667,1.21335165,NA,"x18"
"131",6100,43.16666667,2.11476292,NA,"x18"
"132",16100,49,1.15470054,NA,"x18"
"133",798,42.16666667,1.46249406,NA,"x20"
"134",16100,47.33333333,0.74535599,NA,"x20"
"135",487,42.5,0.95742711,NA,"x20"
"136",9909,37.5,1.25830574,NA,"x20"
"137",300,40.33333333,1.59861051,NA,"x20"
"138",6100,41.16666667,1.06718737,NA,"x20"
"139",300,40.33333333,1.59861051,NA,"x20"
"140",9909,38.66666667,1.79505494,NA,"x20"
"141",16100,47.83333333,1.77169097,NA,"x20"
"142",6100,39.83333333,1.34370962,NA,"x20"
"143",798,40.66666667,1.24721913,NA,"x20"
"144",487,41.83333333,1.06718737,NA,"x20"
"145",6100,40.83333333,1.06718737,NA,"x25"
"146",487,43.66666667,0.94280904,NA,"x25"
"147",16100,47.83333333,1.46249406,NA,"x25"
"148",9909,44.5,0.95742711,NA,"x25"
"149",300,44.5,1.25830574,NA,"x25"
"150",798,43.33333333,0.74535599,NA,"x25"
"151",16100,46.16666667,1.67497927,NA,"x25"
"152",487,41.66666667,1.1055416,NA,"x25"
"153",6100,42.16666667,1.34370962,NA,"x25"
"154",798,43.66666667,0.74535599,NA,"x25"
"155",9909,43,1.15470054,NA,"x25"
"156",300,42.66666667,1.1055416,NA,"x25"
"157",16100,47.5,1.38443731,NA,"x28"
"158",487,42,1,NA,"x28"
"159",300,42.5,1.5,NA,"x28"
"160",798,43,1.29099445,NA,"x28"
"161",6100,43.16666667,0.68718427,NA,"x28"
"162",9909,44.83333333,1.06718737,NA,"x28"
"163",798,44.16666667,1.34370962,NA,"x28"
"164",6100,42.5,0.5,NA,"x28"
"165",16100,47.66666667,1.1055416,NA,"x28"
