"","n_comp","freq","threshold","sd","subj","task"
"572",1,"Low",-11.75,0.93541435,"x45","Control"
"573",3,"Low",-3.625,0.83852549,"x45","Control"
"574",3,"High",3.375,1.17924764,"x45","Control"
"575",15,"High",2.5,2.01556444,"x45","Control"
"576",5,"High",-1.375,3.14493641,"x45","Control"
"577",9,"High",13,0,"x45","Control"
"578",15,"Low",-4.875,0.80039053,"x45","Control"
"579",5,"High",0.125,0.375,"x45","Control"
"580",3,"High",-4.25,0.8291562,"x45","Control"
"581",9,"High",13,0,"x45","Control"
"582",9,"Low",-10,1.06066017,"x45","Control"
"583",1,"High",-10.375,1.66301684,"x45","Control"
"584",5,"Low",-9,0.8291562,"x45","Control"
"585",15,"High",3.70833333,3.94075042,"x45","Control"
"586",1,"Low",-12.375,1.00778222,"x45","Control"
"587",3,"Low",-7.25,0.55901699,"x45","Control"
"588",9,"High",13,0,"x45","Control"
"589",3,"High",-8,2.31840462,"x45","Control"
"590",15,"Low",-4.375,0.71807033,"x45","Control"
"591",1,"High",-4.375,2.47802845,"x45","Control"
"592",9,"Low",-11.875,1.66301684,"x45","Control"
"593",3,"Low",-10.375,1.28086885,"x45","Control"
"594",15,"High",13,0,"x45","Control"
"595",5,"High",3.125,0.71807033,"x45","Control"
"596",1,"Low",-9.5,0.70710678,"x45","Control"
"597",5,"Low",-4.25,1.19895788,"x45","Control"
"598",15,"High",5.875,1.58607219,"x45","Control"
"599",9,"High",13,0,"x45","Control"
"600",9,"Low",-6.875,1.00778222,"x45","Control"
"601",15,"Low",-5.375,1.75445861,"x45","Control"
"602",5,"High",1.75,1.60078106,"x45","Control"
"603",1,"High",-7,1.98431348,"x45","Control"
"604",3,"High",-2.375,1.17924764,"x45","Control"
"605",1,"Low",-9.875,0.80039053,"x45","Control"
"606",3,"Low",-5.875,0.71807033,"x45","Control"
"607",5,"Low",-3.375,1.00778222,"x45","Control"
"608",1,"Low",-8.75,0.55901699,"x45","Control"
"609",3,"Low",-10.375,0.375,"x45","Control"
"610",15,"Low",-4.75,2.56173769,"x45","Control"
"611",9,"High",13,0,"x45","Control"
"612",5,"Low",-4.875,0.80039053,"x45","Control"
"613",15,"High",13,0,"x45","Control"
"614",5,"High",-3.375,1.32876823,"x45","Control"
"615",3,"High",-5.75,0.55901699,"x45","Control"
"616",9,"Low",-6.125,1.00778222,"x45","Control"
"617",1,"High",-3.25,1.29903811,"x45","Control"
"618",15,"High",13,0,"x45","Control"
"619",15,"Low",-4.875,0.80039053,"x45","Control"
"620",1,"Low",-8,0.8291562,"x45","Control"
"621",3,"Low",-8.5,0.61237244,"x45","Control"
"622",1,"High",-2.375,1.58607219,"x45","Control"
"623",5,"High",4.125,0.80039053,"x45","Control"
"624",9,"Low",-8.125,1.28086885,"x45","Control"
"625",5,"Low",-3.625,0.9437293,"x45","Control"
"626",9,"High",4.45833333,5.81201462,"x45","Control"
"627",3,"High",-5,1.3462912,"x45","Control"
"628",1,"Low",-9.375,1.80710404,"x46","Control"
"629",9,"High",13,0,"x46","Control"
"630",3,"Low",-5.875,3.93898781,"x46","Control"
"631",5,"High",3.875,2.89665756,"x46","Control"
"632",15,"Low",2.375,2.19729948,"x46","Control"
"633",5,"Low",-0.125,1.25623445,"x46","Control"
"634",3,"High",9.25,0.61237244,"x46","Control"
"635",15,"High",13,0,"x46","Control"
"636",1,"High",1.125,1.17924764,"x46","Control"
"637",9,"Low",-7.5,1.5411035,"x46","Control"
"638",15,"Low",0.75,0.93541435,"x46","Control"
"639",3,"Low",-6,1.3462912,"x46","Control"
"640",1,"High",-3.25,1.43614066,"x46","Control"
"641",3,"High",0.875,1.28086885,"x46","Control"
"642",9,"High",13,0,"x46","Control"
"643",9,"Low",-4.25,1.76776695,"x46","Control"
"644",1,"Low",-5.75,0.70710678,"x46","Control"
"645",15,"High",9.5,0.55901699,"x46","Control"
"646",5,"High",13,0,"x46","Control"
"647",5,"Low",-5.5,1.29903811,"x46","Control"
"648",1,"High",-3.125,1.00778222,"x46","Control"
"649",5,"High",13,0,"x46","Control"
"650",15,"High",13,0,"x46","Control"
"651",3,"High",0.25,3.0516389,"x46","Control"
"652",3,"Low",-6,0.55901699,"x46","Control"
"653",9,"High",13,0,"x46","Control"
"654",9,"Low",-4.125,0.5153882,"x46","Control"
"655",1,"Low",-9.625,1.48429276,"x46","Control"
"656",5,"Low",-9.125,2.50312305,"x46","Control"
"657",15,"Low",2.25,1.47901995,"x46","Control"
"658",3,"High",9.25,0.61237244,"x46","Control"
"659",9,"Low",-5.75,0.93541435,"x46","Control"
"660",5,"Low",-7.875,1.6441183,"x46","Control"
"661",15,"Low",-1,1.5612495,"x46","Control"
"662",9,"High",7.70833333,1.40991036,"x46","Control"
"663",3,"Low",-8.875,0.375,"x46","Control"
"664",5,"High",13,0,"x46","Control"
"665",15,"High",13,0,"x46","Control"
"666",1,"Low",-14,1.19895788,"x46","Control"
"667",1,"High",-3.5,1.47901995,"x46","Control"
"668",9,"High",8.45833333,1.36486161,"x46","Control"
"669",5,"Low",-7.25,0.8291562,"x46","Control"
"670",1,"Low",-12.125,1.75445861,"x46","Control"
"671",3,"High",-1.875,1.46308749,"x46","Control"
"672",15,"Low",-1.5,0.70710678,"x46","Control"
"673",9,"Low",-3.625,0.71807033,"x46","Control"
"674",5,"High",6.625,3.65932029,"x46","Control"
"675",15,"High",13,0,"x46","Control"
"676",1,"High",-1.375,1.875,"x46","Control"
"677",3,"Low",-11.125,0.71807033,"x46","Control"
"678",5,"Low",-5.125,1.125,"x46","Control"
"679",9,"Low",0.75,0.70710678,"x46","Control"
"680",15,"High",13,0,"x46","Control"
"681",5,"High",9.625,0.375,"x46","Control"
"682",3,"Low",-10,1.22474487,"x46","Control"
"683",1,"High",-0.5,1.47901995,"x46","Control"
"684",15,"Low",-1,1.43614066,"x46","Control"
"685",9,"High",13,0,"x46","Control"
"686",1,"Low",-12.875,0.80039053,"x46","Control"
"687",3,"High",-1.375,1.125,"x46","Control"
"688",15,"High",13,0,"x46","Control"
"689",3,"Low",-12.875,1.80710404,"x46","Control"
"690",1,"High",0,0.55901699,"x46","Control"
"691",9,"High",2.75,3.26917421,"x46","Control"
"692",3,"High",-4.375,1.77218086,"x46","Control"
"693",5,"Low",-13.125,1.09687055,"x46","Control"
"694",5,"High",8,0.93541435,"x46","Control"
"695",15,"Low",-2.875,0.71807033,"x46","Control"
"696",9,"Low",-6.5,1.27475488,"x46","Control"
"697",1,"Low",-9.875,1.90804219,"x46","Control"
"698",5,"High",4.375,0.5153882,"x46","Control"
"699",3,"High",-0.625,0.71807033,"x46","Control"
"700",5,"Low",-11.125,0.71807033,"x46","Control"
"701",9,"High",5.25,2.23606798,"x46","Control"
"702",9,"Low",-6.75,0.70710678,"x46","Control"
"703",1,"Low",-17.125,0.71807033,"x46","Control"
"704",15,"Low",-1.875,1.00778222,"x46","Control"
"705",3,"Low",-9.375,1.17924764,"x46","Control"
"706",15,"High",8.75,0.70710678,"x46","Control"
"707",1,"High",-2.5,1.29903811,"x46","Control"
"708",15,"High",7.125,0.80039053,"x46","Control"
"709",9,"High",13,0,"x46","Control"
"710",15,"Low",-2.875,0.375,"x46","Control"
"711",5,"Low",-12.5,1.27475488,"x46","Control"
"712",3,"High",-4.75,0.96824584,"x46","Control"
"713",1,"Low",-13,1.36930639,"x46","Control"
"714",1,"High",-4.125,1.58607219,"x46","Control"
"715",5,"High",5,3.06186218,"x46","Control"
"716",9,"Low",-7.25,1.3462912,"x46","Control"
"717",3,"Low",-10.875,1.17924764,"x46","Control"
"718",3,"Low",-11.375,2.50312305,"x46","Control"
"719",9,"High",13,0,"x46","Control"
"720",3,"High",1.75,0.8291562,"x46","Control"
"721",15,"Low",-0.75,1.27475488,"x46","Control"
"722",9,"Low",-5,1.82002747,"x46","Control"
"723",5,"High",2.125,0.80039053,"x46","Control"
"724",1,"Low",-13.125,0.80039053,"x46","Control"
"725",5,"Low",-9.75,1.03077641,"x46","Control"
"726",1,"High",-4.125,1.39754249,"x46","Control"
"727",15,"High",8.66666667,2.33482095,"x46","Control"
"728",3,"Low",-16.375,0.71807033,"x46","Control"
"729",9,"Low",-6.375,0.91001374,"x46","Control"
"730",1,"Low",-9.125,0.80039053,"x46","Control"
"731",15,"High",7.25,1.67705098,"x46","Control"
"732",5,"High",7.5,0.55901699,"x46","Control"
"733",9,"High",3.625,2.98171511,"x46","Control"
"734",5,"Low",-11.75,0.93541435,"x46","Control"
"735",15,"Low",-5.5,1.78535711,"x46","Control"
"736",3,"High",1.75,0.55901699,"x46","Control"
"737",1,"High",-4.75,1.22474487,"x46","Control"
"738",5,"High",2.125,1.32876823,"x46","Control"
"739",15,"High",9,0.8291562,"x46","Control"
"740",9,"High",9.625,0.375,"x46","Control"
"741",9,"Low",-2.75,0.93541435,"x46","Control"
"742",15,"Low",-2.25,1.76776695,"x46","Control"
"743",5,"Low",-10.875,1.46308749,"x46","Control"
"744",1,"High",-4.625,0.5153882,"x46","Control"
"745",3,"High",0.625,0.6731456,"x46","Control"
"746",3,"Low",-15.625,0.71807033,"x46","Control"
"747",1,"Low",-14.75,1.03077641,"x46","Control"
"748",9,"Low",3.375,1.58607219,"x49","Control"
"749",15,"High",13,0,"x49","Control"
"750",3,"Low",-9.5,1.5411035,"x49","Control"
"751",1,"Low",-5.75,0.55901699,"x49","Control"
"752",5,"Low",-1.75,2.80624304,"x49","Control"
"753",15,"Low",-0.75,1.11803399,"x49","Control"
"754",1,"High",-6.375,3.954823,"x49","Control"
"755",3,"High",2.75,1.62018517,"x49","Control"
"756",5,"High",3.25,2.35849528,"x49","Control"
"757",9,"High",13,0,"x49","Control"
"758",15,"High",13,0,"x49","Control"
"759",3,"High",0.375,1.00778222,"x49","Control"
"760",1,"Low",-7,1.43614066,"x49","Control"
"761",1,"High",-3.875,1.70018381,"x49","Control"
"762",5,"Low",-3.375,1.95655948,"x49","Control"
"763",5,"High",13,0,"x49","Control"
"764",9,"Low",-3.125,0.5153882,"x49","Control"
"765",15,"Low",-1.25,2.23606798,"x49","Control"
"766",9,"High",1,6.6473679,"x49","Control"
"767",3,"Low",-1.25,2.1937411,"x49","Control"
"768",5,"High",13,0,"x49","Control"
"769",5,"Low",-4.375,0.71807033,"x49","Control"
"770",9,"High",13,0,"x49","Control"
"771",1,"Low",-7.75,0.96824584,"x49","Control"
"772",9,"Low",-5.125,0.9437293,"x49","Control"
"773",1,"High",7.875,1.32876823,"x49","Control"
"774",15,"Low",-2.625,1.00778222,"x49","Control"
"775",3,"Low",-3.125,3.04394892,"x49","Control"
"776",3,"High",3.625,2.09538183,"x49","Control"
"777",15,"High",13,0,"x49","Control"
"778",5,"Low",-4.5,1.03077641,"x49","Control"
"779",1,"Low",-6.75,1.92028644,"x49","Control"
"780",5,"High",4.375,3.16474723,"x49","Control"
"781",15,"High",13,0,"x49","Control"
"782",1,"High",-1.375,1.77218086,"x49","Control"
"783",9,"High",13,0,"x49","Control"
"784",9,"Low",-2.875,1.03832798,"x49","Control"
"785",3,"High",-4.875,0.80039053,"x49","Control"
"786",3,"Low",-4.25,0.55901699,"x49","Control"
"787",15,"Low",-3.375,4.40347874,"x49","Control"
"788",1,"High",-2.875,1.125,"x49","Control"
"789",1,"Low",-8.25,1.6583124,"x49","Control"
"790",3,"High",4.75,0.55901699,"x49","Control"
"791",5,"High",7.375,2.55257223,"x49","Control"
"792",3,"Low",1.25,1.36930639,"x49","Control"
"793",9,"High",13,0,"x49","Control"
"794",15,"High",13,0,"x49","Control"
"795",9,"Low",-5,0.55901699,"x49","Control"
"796",5,"Low",-4.875,1.17924764,"x49","Control"
"797",15,"Low",0,0.93541435,"x49","Control"
"798",1,"High",-4.75,0.96824584,"x49","Control"
"799",3,"High",-4.75,2.77263413,"x49","Control"
"800",5,"High",7.58333333,1.76580168,"x49","Control"
"801",15,"High",13,0,"x49","Control"
"802",5,"Low",-8.125,1.77218086,"x49","Control"
"803",1,"Low",-7.125,0.6731456,"x49","Control"
"804",9,"High",13,0,"x49","Control"
"805",3,"Low",-4.5,0.93541435,"x49","Control"
"806",9,"Low",-3.5,0.55901699,"x49","Control"
"807",15,"Low",-2.125,1.66301684,"x49","Control"
"808",3,"Low",-9.5,1.3462912,"x49","Control"
"809",9,"High",0.125,3.8910956,"x49","Control"
"810",15,"High",13,0,"x49","Control"
"811",1,"High",-0.625,2.5890394,"x49","Control"
"812",3,"High",3.875,0.9437293,"x49","Control"
"813",5,"Low",-7.625,1.09687055,"x49","Control"
"814",15,"Low",-4.625,1.52581945,"x49","Control"
"815",5,"High",7.20833333,2.27951323,"x49","Control"
"816",1,"Low",-3,1.92028644,"x49","Control"
"817",9,"Low",-7.625,1.09687055,"x49","Control"
"818",9,"High",-4.75,1.78535711,"x49","Control"
"819",1,"Low",-6.625,0.9437293,"x49","Control"
"820",9,"Low",-7.25,1.76776695,"x49","Control"
"821",3,"High",9.25,0.61237244,"x49","Control"
"822",3,"Low",-6.125,0.91001374,"x49","Control"
"823",15,"High",13,0,"x49","Control"
"824",5,"Low",-5.625,0.80039053,"x49","Control"
"825",1,"High",0.625,2.18303115,"x49","Control"
"826",5,"High",-4.125,4.44585481,"x49","Control"
"827",15,"Low",-4,0.61237244,"x49","Control"
"828",3,"Low",-10.375,1.28086885,"x49","Control"
"829",5,"High",13,0,"x49","Control"
"830",1,"High",0.25,3.230712,"x49","Control"
"831",5,"Low",-1.875,0.80039053,"x49","Control"
"832",9,"High",13,0,"x49","Control"
"833",15,"Low",-7.625,2.18303115,"x49","Control"
"834",15,"High",0.75,4.53458929,"x49","Control"
"835",3,"High",2,2.20794022,"x49","Control"
"836",1,"Low",-9.125,0.6731456,"x49","Control"
"837",9,"Low",-6.75,1.6583124,"x49","Control"
"838",9,"Low",-3.375,0.6731456,"x49","Control"
"839",3,"Low",-8,1.6583124,"x49","Control"
"840",15,"Low",-5.625,3.39346799,"x49","Control"
"841",15,"High",6.625,3.65932029,"x49","Control"
"842",5,"Low",-3.625,2.06533896,"x49","Control"
"843",9,"High",8.25,1.6583124,"x49","Control"
"844",3,"High",6.125,1.77218086,"x49","Control"
"845",5,"High",13,0,"x49","Control"
"846",1,"Low",-6.875,1.70018381,"x49","Control"
"847",1,"High",4.625,0.71807033,"x49","Control"
"848",1,"Low",-13,1.06066017,"x49","Control"
"849",5,"Low",-7.875,1.58607219,"x49","Control"
"850",15,"High",13,0,"x49","Control"
"851",3,"Low",-4.125,1.17924764,"x49","Control"
"852",1,"High",-5.375,1.32876823,"x49","Control"
"853",3,"High",4,1.47901995,"x49","Control"
"854",9,"High",6.625,3.65932029,"x49","Control"
"855",9,"Low",-8.5,0.75,"x49","Control"
"856",5,"High",9.125,0.80039053,"x49","Control"
"857",15,"Low",-2.375,0.5153882,"x49","Control"
"858",9,"High",13,0,"x49","Control"
"859",1,"Low",-6.5,0.93541435,"x49","Control"
"860",5,"Low",-11.5,1.67705098,"x49","Control"
"861",3,"High",1,1.03077641,"x49","Control"
"862",15,"Low",-5.875,0.375,"x49","Control"
"863",1,"High",-5.25,1.71391365,"x49","Control"
"864",3,"Low",-3.75,0.55901699,"x49","Control"
"865",9,"Low",-8.875,1.03832798,"x49","Control"
"866",15,"High",13,0,"x49","Control"
"867",5,"High",-2.375,2.18303115,"x49","Control"
"868",15,"High",-2.5,1.93649167,"x50","Control"
"869",5,"Low",0.25,0.70710678,"x50","Control"
"870",1,"High",1.25,0.96824584,"x50","Control"
"871",1,"Low",-16.5,0.55901699,"x50","Control"
"872",3,"High",-2.375,1.09687055,"x50","Control"
"873",9,"High",13,0,"x50","Control"
"874",5,"High",13,0,"x50","Control"
"875",15,"Low",6.25,1.11803399,"x50","Control"
"876",3,"Low",-6.625,0.71807033,"x50","Control"
"877",9,"Low",-0.625,3.26199709,"x50","Control"
"878",1,"High",1.5,0.93541435,"x50","Control"
"879",9,"High",13,0,"x50","Control"
"880",3,"High",3.25,1.03077641,"x50","Control"
"881",1,"Low",-11.125,1.71846589,"x50","Control"
"882",15,"High",5.375,2.69548233,"x50","Control"
"883",9,"Low",5.125,0.80039053,"x50","Control"
"884",15,"Low",1.875,1.80710404,"x50","Control"
"885",5,"Low",3.875,0.9437293,"x50","Control"
"886",3,"Low",-4,0.96824584,"x50","Control"
"887",5,"High",13,0,"x50","Control"
"888",15,"High",-2.875,3.08474067,"x50","Control"
"889",5,"High",13,0,"x50","Control"
"890",3,"High",13,0,"x50","Control"
"891",15,"Low",8.625,1.52581945,"x50","Control"
"892",5,"Low",1.625,0.71807033,"x50","Control"
"893",9,"Low",-0.125,1.58607219,"x50","Control"
"894",1,"Low",-4.375,1.125,"x50","Control"
"895",3,"Low",2.25,0.55901699,"x50","Control"
"896",1,"High",2.25,1.47901995,"x50","Control"
"897",9,"High",13,0,"x50","Control"
"898",1,"Low",-11.875,1.28086885,"x50","Control"
"899",15,"Low",4.875,2.34853678,"x50","Control"
"900",3,"Low",-1.5,3.86490621,"x50","Control"
"901",9,"Low",7.83333333,1.32811479,"x50","Control"
"902",1,"High",-1.875,0.91001374,"x50","Control"
"903",5,"Low",1.25,3.79967104,"x50","Control"
"904",15,"High",13,0,"x50","Control"
"905",5,"High",13,0,"x50","Control"
"906",9,"High",13,0,"x50","Control"
"907",3,"High",13,0,"x50","Control"
"908",5,"High",6.875,2.96067982,"x50","Control"
"909",3,"Low",-1.625,2.30827316,"x50","Control"
"910",1,"High",13,0,"x50","Control"
"911",3,"High",13,0,"x50","Control"
"912",1,"Low",-2.875,0.71807033,"x50","Control"
"913",5,"Low",13,0,"x50","Control"
"914",9,"High",13,0,"x50","Control"
"915",15,"High",13,0,"x50","Control"
"916",9,"Low",3.875,1.875,"x50","Control"
"917",15,"Low",2.75,1.62018517,"x50","Control"
"918",1,"Low",-16.75,1.62018517,"x50","Control"
"919",15,"High",13,0,"x50","Control"
"920",1,"High",-2.25,1.47901995,"x50","Control"
"921",9,"Low",2.375,0.375,"x50","Control"
"922",5,"High",-0.5,1.11803399,"x50","Control"
"923",3,"Low",-2.375,0.80039053,"x50","Control"
"924",9,"High",13,0,"x50","Control"
"925",5,"Low",0.75,1.03077641,"x50","Control"
"926",3,"High",-0.125,0.5153882,"x50","Control"
"927",15,"Low",-0.625,1.875,"x50","Control"
"928",1,"High",-6.875,0.6731456,"x50","Control"
"929",15,"High",13,0,"x50","Control"
"930",5,"Low",1,1.19895788,"x50","Control"
"931",3,"High",2.25,0.93541435,"x50","Control"
"932",15,"Low",2.5,0.93541435,"x50","Control"
"933",9,"High",9.625,0.375,"x50","Control"
"934",5,"High",1,2.65753645,"x50","Control"
"935",9,"Low",2,3.06186218,"x50","Control"
"936",3,"Low",-4.25,1.03077641,"x50","Control"
"937",1,"Low",-13.625,0.5153882,"x50","Control"
"938",5,"High",-1.375,1.66301684,"x50","Control"
"939",3,"Low",-6.75,0.55901699,"x50","Control"
"940",15,"Low",1.5,0.8291562,"x50","Control"
"941",3,"High",-4,2.73861279,"x50","Control"
"942",1,"High",1.875,1.32876823,"x50","Control"
"943",9,"High",7.75,0.8660254,"x50","Control"
"944",9,"Low",-4.875,0.80039053,"x50","Control"
"945",5,"Low",0,0.55901699,"x50","Control"
"946",1,"Low",-14,0.93541435,"x50","Control"
"947",15,"High",13,0,"x50","Control"
"948",15,"Low",8.29166667,2.0686986,"x50","Control"
"949",1,"High",-4.25,1.3462912,"x50","Control"
"950",1,"Low",-13.25,1.03077641,"x50","Control"
"951",3,"Low",0.5,1.06066017,"x50","Control"
"952",15,"High",0.625,2.42706098,"x50","Control"
"953",5,"High",3.875,2.96067982,"x50","Control"
"954",3,"High",3.375,1.17924764,"x50","Control"
"955",9,"High",13,0,"x50","Control"
"956",9,"Low",-4.75,2.33184476,"x50","Control"
"957",5,"Low",-0.75,0.70710678,"x50","Control"
"958",3,"Low",-1.375,0.375,"x50","Control"
"959",1,"Low",-16,0.75,"x50","Control"
"960",1,"High",-5.75,1.3462912,"x50","Control"
"961",15,"High",13,0,"x50","Control"
"962",15,"Low",1.125,3.0129927,"x50","Control"
"963",5,"Low",-9.375,0.80039053,"x50","Control"
"964",9,"High",3.5,1.5612495,"x50","Control"
"965",5,"High",9.5,0.55901699,"x50","Control"
"966",3,"High",7.375,0.5153882,"x50","Control"
"967",9,"Low",-2.25,1.96850197,"x50","Control"
"968",3,"High",4.125,0.80039053,"x50","Control"
"969",5,"Low",-7.25,1.60078106,"x50","Control"
"970",9,"Low",-4.75,2.25,"x50","Control"
"971",1,"Low",-12,1.27475488,"x50","Control"
"972",3,"Low",0,0.55901699,"x50","Control"
"973",5,"High",-0.5,0.93541435,"x50","Control"
"974",1,"High",-6.625,2.69548233,"x50","Control"
"975",15,"Low",3,1.11803399,"x50","Control"
"976",9,"High",3.875,5.24553381,"x50","Control"
"977",15,"High",13,0,"x50","Control"
"978",5,"Low",-2.125,2.23955911,"x50","Control"
"979",15,"High",13,0,"x50","Control"
"980",1,"High",-4.375,1.03832798,"x50","Control"
"981",5,"High",13,0,"x50","Control"
"982",15,"Low",0.5,0.61237244,"x50","Control"
"983",9,"High",-3.25,1.43614066,"x50","Control"
"984",3,"High",-1.25,0.55901699,"x50","Control"
"985",1,"Low",-17.75,1.11803399,"x50","Control"
"986",3,"Low",-3,1.47901995,"x50","Control"
"987",9,"Low",-8.75,0.93541435,"x50","Control"
"988",1,"High",-1.875,1.70018381,"x51","Control"
"989",5,"High",13,0,"x51","Control"
"990",3,"High",-2.125,0.71807033,"x51","Control"
"991",15,"High",13,0,"x51","Control"
"992",3,"Low",3.5,0.61237244,"x51","Control"
"993",9,"High",8.625,1.32876823,"x51","Control"
"994",15,"Low",5,0.61237244,"x51","Control"
"995",1,"Low",-7,0.96824584,"x51","Control"
"996",5,"Low",2,1.62018517,"x51","Control"
"997",9,"Low",3.125,0.71807033,"x51","Control"
"998",9,"Low",-2.25,2.35849528,"x51","Control"
"999",1,"High",-3.125,0.80039053,"x51","Control"
"1000",3,"Low",-3.25,0.61237244,"x51","Control"
"1001",1,"Low",-11.375,0.80039053,"x51","Control"
"1002",15,"High",0.70833333,4.27545482,"x51","Control"
"1003",9,"High",13,0,"x51","Control"
"1004",5,"High",-0.25,2.63391344,"x51","Control"
"1005",5,"Low",-1.375,1.28086885,"x51","Control"
"1006",15,"Low",5.875,1.46308749,"x51","Control"
"1007",3,"High",-6.375,2.98171511,"x51","Control"
"1008",1,"High",-9.125,1.32876823,"x51","Control"
"1009",1,"Low",-9,0.55901699,"x51","Control"
"1010",3,"High",-3.875,0.91001374,"x51","Control"
"1011",15,"Low",3,0.93541435,"x51","Control"
"1012",5,"High",-2.5,1.43614066,"x51","Control"
"1013",9,"Low",4,0.93541435,"x51","Control"
"1014",5,"Low",6.5,0.61237244,"x51","Control"
"1015",15,"High",13,0,"x51","Control"
"1016",3,"Low",0,0.55901699,"x51","Control"
"1017",9,"High",9.25,0.61237244,"x51","Control"
"1018",3,"Low",-4,1.43614066,"x51","Control"
"1019",1,"Low",-8.5,1.43614066,"x51","Control"
"1020",15,"High",6.625,1.32876823,"x51","Control"
"1021",15,"Low",4,0.75,"x51","Control"
"1022",1,"High",-7.375,0.375,"x51","Control"
"1023",5,"Low",-0.375,0.80039053,"x51","Control"
"1024",9,"High",13,0,"x51","Control"
"1025",9,"Low",3.5,0.61237244,"x51","Control"
"1026",5,"High",2,1.29903811,"x51","Control"
"1027",3,"High",2.625,1.00778222,"x51","Control"
"1028",1,"High",-6.875,0.6731456,"x51","Control"
"1029",9,"Low",-6.5,3.082207,"x51","Control"
"1030",1,"Low",-13.625,0.80039053,"x51","Control"
"1031",15,"Low",5.375,0.9437293,"x51","Control"
"1032",5,"Low",-1,0.61237244,"x51","Control"
"1033",3,"High",3.375,2.00390244,"x51","Control"
"1034",15,"High",-0.375,2.85317805,"x51","Control"
"1035",9,"High",13,0,"x51","Control"
"1036",5,"High",7.625,2.85317805,"x51","Control"
"1037",3,"Low",-11.125,0.375,"x51","Control"
"1038",5,"Low",-2.75,0.55901699,"x51","Control"
"1039",1,"High",-9.75,1.41421356,"x51","Control"
"1040",15,"High",13,0,"x51","Control"
"1041",9,"High",7.5,0.93541435,"x51","Control"
"1042",3,"High",1.125,1.17924764,"x51","Control"
"1043",5,"High",13,0,"x51","Control"
"1044",3,"Low",-6.75,2.79508497,"x51","Control"
"1045",1,"Low",-16.75,0.75,"x51","Control"
"1046",15,"Low",3.375,1.58607219,"x51","Control"
"1047",9,"Low",-5.875,1.48429276,"x51","Control"
"1048",9,"Low",-9.5,0.93541435,"x51","Control"
"1049",5,"High",-6.75,0.93541435,"x51","Control"
"1050",1,"High",-3.125,0.5153882,"x51","Control"
"1051",1,"Low",-14.5,0.96824584,"x51","Control"
"1052",15,"High",8.41666667,1.57233019,"x51","Control"
"1053",5,"Low",-9.625,1.125,"x51","Control"
"1054",3,"Low",-10.25,0.8291562,"x51","Control"
"1055",15,"Low",3.375,0.80039053,"x51","Control"
"1056",9,"High",8.08333333,1.33593496,"x51","Control"
"1057",3,"High",-7.25,1.11803399,"x51","Control"
"1058",15,"High",1.875,1.58607219,"x51","Control"
"1059",5,"Low",-0.5,0.70710678,"x51","Control"
"1060",9,"Low",0.5,0.96824584,"x51","Control"
"1061",3,"Low",-6.75,0.55901699,"x51","Control"
"1062",9,"High",0.5,1.06066017,"x51","Control"
"1063",1,"Low",-17.125,1.03832798,"x51","Control"
"1064",3,"High",-10.5,1.11803399,"x51","Control"
"1065",1,"High",-6.625,1.875,"x51","Control"
"1066",5,"High",2.125,1.52581945,"x51","Control"
"1067",15,"Low",-3.875,2.7866871,"x51","Control"
"1068",9,"Low",-4.625,0.6731456,"x51","Control"
"1069",9,"High",5.75,0.96824584,"x51","Control"
"1070",5,"High",-4.25,0.8291562,"x51","Control"
"1071",1,"High",-5.5,1.29903811,"x51","Control"
"1072",1,"Low",-16.75,0.96824584,"x51","Control"
"1073",15,"Low",-0.25,0.96824584,"x51","Control"
"1074",3,"Low",-10,1.36930639,"x51","Control"
"1075",3,"High",-1.875,0.6731456,"x51","Control"
"1076",15,"High",9.08333333,0.65616732,"x51","Control"
"1077",5,"Low",-3.375,0.80039053,"x51","Control"
"1078",3,"High",-8.25,0.55901699,"x51","Control"
"1079",15,"Low",-2.875,1.28086885,"x51","Control"
"1080",9,"Low",-5.75,2.58602011,"x51","Control"
"1081",1,"Low",-15.875,0.80039053,"x51","Control"
"1082",5,"High",-2.25,1.82002747,"x51","Control"
"1083",5,"Low",-4.5,0.55901699,"x51","Control"
"1084",15,"High",5.25,1.3462912,"x51","Control"
"1085",1,"High",-2.5,1.93649167,"x51","Control"
"1086",9,"High",8.25,1.11803399,"x51","Control"
"1087",3,"Low",-5.625,0.6731456,"x51","Control"
"1088",5,"Low",-4.5,0.8291562,"x51","Control"
"1089",5,"High",1.875,0.80039053,"x51","Control"
"1090",3,"Low",-4.125,0.80039053,"x51","Control"
"1091",15,"High",13,0,"x51","Control"
"1092",3,"High",-5.75,1.11803399,"x51","Control"
"1093",9,"Low",-1.125,0.80039053,"x51","Control"
"1094",15,"Low",-0.375,0.80039053,"x51","Control"
"1095",1,"Low",-16.375,1.41972709,"x51","Control"
"1096",1,"High",-7.625,1.00778222,"x51","Control"
"1097",9,"High",13,0,"x51","Control"
"1098",15,"High",13,0,"x51","Control"
"1099",3,"Low",-11.875,0.71807033,"x51","Control"
"1100",1,"Low",-19.25,1.87082869,"x51","Control"
"1101",5,"High",-0.25,1.22474487,"x51","Control"
"1102",1,"High",-2.625,1.70018381,"x51","Control"
"1103",9,"Low",-4.625,1.17924764,"x51","Control"
"1104",5,"Low",-4.5,1.19895788,"x51","Control"
"1105",3,"High",-1.75,0.61237244,"x51","Control"
"1106",9,"High",4.125,3.9071249,"x51","Control"
