"","n_comp","freq","threshold","sd","subj","task"
"164",9,"High",13,0,"x34","Control"
"165",5,"Low",-3.375,0.91001374,"x34","Control"
"166",15,"High",13,0,"x34","Control"
"167",3,"High",4.625,1.28086885,"x34","Control"
"168",3,"Low",-7.125,1.17924764,"x34","Control"
"169",9,"Low",-3.375,0.5153882,"x34","Control"
"170",1,"High",-5.375,1.90804219,"x34","Control"
"171",9,"High",13,0,"x34","Control"
"172",9,"Low",-7.25,0.55901699,"x34","Control"
"173",5,"Low",-13,1.22474487,"x34","Control"
"174",1,"Low",-14.875,1.28086885,"x34","Control"
"175",5,"High",7.75,0.96824584,"x34","Control"
"176",15,"Low",-7,0.8660254,"x34","Control"
"177",15,"High",13,0,"x34","Control"
"178",3,"Low",-11.125,0.71807033,"x34","Control"
"179",1,"High",-9.5,1.82002747,"x34","Control"
"180",3,"High",0.5,0.61237244,"x34","Control"
"181",5,"High",0.125,1.66301684,"x34","Control"
"182",15,"Low",-4.875,1.32876823,"x34","Control"
"183",3,"Low",-10.625,1.17924764,"x34","Control"
"184",5,"Low",-9.125,1.90804219,"x34","Control"
"185",1,"Low",-13.375,3.2040014,"x34","Control"
"186",9,"High",13,0,"x34","Control"
"187",9,"Low",-7.25,0.93541435,"x34","Control"
"188",1,"High",-6.75,0.93541435,"x34","Control"
"189",15,"High",9,1.03077641,"x34","Control"
"190",3,"High",4.125,0.80039053,"x34","Control"
"191",5,"Low",-16.375,1.28086885,"x34","Control"
"192",3,"Low",-10.75,1.5612495,"x34","Control"
"193",9,"Low",-7.125,1.17924764,"x34","Control"
"194",15,"Low",-2.5,1.06066017,"x34","Control"
"195",1,"Low",-14.5,1.93649167,"x34","Control"
"196",3,"High",-5.125,2.23955911,"x34","Control"
"197",9,"High",5.5,1.87082869,"x34","Control"
"198",15,"High",13,0,"x34","Control"
"199",5,"High",4.875,0.80039053,"x34","Control"
"200",1,"High",-4.875,1.17924764,"x34","Control"
"201",9,"High",13,0,"x34","Control"
"202",5,"High",8.83333333,0.73124703,"x34","Control"
"203",1,"High",-6.75,1.6583124,"x34","Control"
"204",15,"Low",-3,2.01556444,"x34","Control"
"205",15,"High",3.70833333,3.59228533,"x34","Control"
"206",3,"High",1.125,1.09687055,"x34","Control"
"207",3,"Low",-12.375,0.80039053,"x34","Control"
"208",1,"Low",-18.625,0.71807033,"x34","Control"
"209",9,"Low",-6.625,2.23955911,"x34","Control"
"210",5,"Low",-13.625,0.5153882,"x34","Control"
"211",9,"Low",-6.5,0.8291562,"x34","Control"
"212",5,"High",1.375,1.00778222,"x34","Control"
"213",5,"Low",-5.875,0.71807033,"x34","Control"
"214",3,"High",-4,0.61237244,"x34","Control"
"215",15,"High",9.25,0.8660254,"x34","Control"
"216",3,"Low",-12.5,1.11803399,"x34","Control"
"217",1,"High",-5.5,0.75,"x34","Control"
"218",15,"Low",-2.875,0.9437293,"x34","Control"
"219",1,"Low",-18.5,1.11803399,"x34","Control"
"220",9,"High",6.875,1.28086885,"x34","Control"
"221",1,"High",-5.75,1.6583124,"x34","Control"
"222",5,"High",4,2.47487373,"x34","Control"
"223",5,"Low",-10.125,0.80039053,"x34","Control"
"224",3,"Low",-14.125,0.375,"x34","Control"
"225",9,"High",13,0,"x34","Control"
"226",15,"High",9.375,0.5153882,"x34","Control"
"227",3,"High",-1.375,0.71807033,"x34","Control"
"228",9,"Low",-4.125,2.85317805,"x34","Control"
"229",1,"Low",-17.75,0.70710678,"x34","Control"
"230",15,"Low",-2.125,1.28086885,"x34","Control"
"231",15,"Low",-3.75,1.47901995,"x34","Control"
"232",1,"High",-9.125,0.5153882,"x34","Control"
"233",3,"Low",-11.5,1.78535711,"x34","Control"
"234",9,"High",13,0,"x34","Control"
"235",3,"High",0.375,1.39754249,"x34","Control"
"236",15,"High",13,0,"x34","Control"
"237",9,"Low",-9.625,0.71807033,"x34","Control"
"238",5,"High",5.25,2.01556444,"x34","Control"
"239",5,"Low",-10.875,0.5153882,"x34","Control"
"240",1,"Low",-12,1.11803399,"x34","Control"
"241",1,"High",-6.875,0.6731456,"x34","Control"
"242",1,"Low",-16.625,2.18303115,"x34","Control"
"243",15,"High",4.5,2.1937411,"x34","Control"
"244",5,"Low",-10,0.96824584,"x34","Control"
"245",3,"High",3,1.03077641,"x34","Control"
"246",15,"Low",-4.875,1.95655948,"x34","Control"
"247",3,"Low",-11.125,1.125,"x34","Control"
"248",9,"High",4.875,2.13965535,"x34","Control"
"249",5,"High",-0.25,2.59807621,"x34","Control"
"250",9,"Low",-6.5,0.70710678,"x34","Control"
"251",1,"Low",-12.875,2.34853678,"x34","Control"
"252",5,"Low",-8.25,2.58602011,"x34","Control"
"253",3,"Low",-14,0.93541435,"x34","Control"
"254",5,"High",6.875,1.48429276,"x34","Control"
"255",1,"High",-5.625,0.80039053,"x34","Control"
"256",15,"Low",-5.25,1.47901995,"x34","Control"
"257",9,"Low",-7.375,0.9437293,"x34","Control"
"258",3,"High",1.625,2.40117159,"x34","Control"
"259",9,"High",1.125,2.09538183,"x34","Control"
"260",15,"High",6.83333333,2.26231199,"x34","Control"
"261",3,"Low",-15,1.6583124,"x34","Control"
"262",15,"Low",-1.125,1.00778222,"x34","Control"
"263",5,"High",2.875,0.80039053,"x34","Control"
"264",1,"Low",-12.125,0.80039053,"x34","Control"
"265",1,"High",-8.875,1.66301684,"x34","Control"
"266",9,"High",13,0,"x34","Control"
"267",9,"Low",-7,1.78535711,"x34","Control"
"268",5,"Low",-17.25,2.47487373,"x34","Control"
"269",3,"High",-3.75,1.41421356,"x34","Control"
"270",15,"High",8.5,1.14564392,"x34","Control"
"271",9,"High",13,0,"x34","Control"
"272",3,"High",-0.75,1.03077641,"x34","Control"
"273",3,"Low",-14.875,0.375,"x34","Control"
"274",1,"Low",-15.25,0.61237244,"x34","Control"
"275",15,"Low",-3.375,0.5153882,"x34","Control"
"276",1,"High",-8.5,1.06066017,"x34","Control"
"277",5,"High",6.25,1.19895788,"x34","Control"
"278",9,"Low",-11,0.70710678,"x34","Control"
"279",15,"High",13,0,"x34","Control"
"280",5,"Low",-20.75,0.93541435,"x34","Control"
"281",3,"Low",-2.75,1.27475488,"x36","Control"
"282",1,"High",3.25,1.11803399,"x36","Control"
"283",9,"Low",4.875,1.58607219,"x36","Control"
"284",9,"High",13,0,"x36","Control"
"285",1,"Low",-8.875,0.9437293,"x36","Control"
"286",15,"High",13,0,"x36","Control"
"287",15,"Low",0,1.76776695,"x36","Control"
"288",5,"Low",-4.25,1.19895788,"x36","Control"
"289",5,"High",13,0,"x36","Control"
"290",3,"High",13,0,"x36","Control"
"291",5,"High",13,0,"x36","Control"
"292",1,"High",-4.625,1.70018381,"x36","Control"
"293",5,"Low",-8.25,0.8291562,"x36","Control"
"294",3,"Low",-5.5,1.93649167,"x36","Control"
"295",9,"Low",-5.875,0.71807033,"x36","Control"
"296",15,"High",4.125,5.70224736,"x36","Control"
"297",3,"High",13,0,"x36","Control"
"298",15,"Low",-1.125,1.52581945,"x36","Control"
"299",1,"Low",-9.125,1.58607219,"x36","Control"
"300",9,"High",9.375,0.6731456,"x36","Control"
"301",3,"Low",-2,0.8291562,"x36","Control"
"302",5,"High",9.25,0.61237244,"x36","Control"
"303",3,"High",3.75,1.41421356,"x36","Control"
"304",9,"Low",-7.25,0.93541435,"x36","Control"
"305",15,"High",5.20833333,4.05024862,"x36","Control"
"306",5,"Low",-9.125,0.80039053,"x36","Control"
"307",15,"Low",-0.375,2.57694102,"x36","Control"
"308",1,"Low",-11.375,0.6731456,"x36","Control"
"309",1,"High",-3.375,2.42706098,"x36","Control"
"310",9,"High",13,0,"x36","Control"
"311",3,"Low",-2.125,0.9437293,"x36","Control"
"312",3,"High",2.5,1.3462912,"x36","Control"
"313",3,"Low",-7.75,0.61237244,"x38","Control"
"314",9,"Low",-1,1.29903811,"x38","Control"
"315",5,"High",3.375,0.80039053,"x38","Control"
"316",5,"Low",-6.625,0.9437293,"x38","Control"
"317",9,"High",13,0,"x38","Control"
"318",1,"High",4.125,0.80039053,"x38","Control"
"319",15,"High",13,0,"x38","Control"
"320",1,"Low",-13.75,0.75,"x38","Control"
"321",15,"Low",1,1.76776695,"x38","Control"
"322",3,"High",-4.25,0.8291562,"x38","Control"
"323",5,"High",8,0.61237244,"x38","Control"
"324",9,"Low",-12.25,0.8660254,"x38","Control"
"325",3,"High",-8.5,1.43614066,"x38","Control"
"326",9,"High",13,0,"x38","Control"
"327",15,"Low",-6.625,1.03832798,"x38","Control"
"328",1,"Low",-17.25,1.76776695,"x38","Control"
"329",3,"Low",-7,1.67705098,"x38","Control"
"330",1,"High",-2.375,2.42706098,"x38","Control"
"331",5,"Low",-7.5,1.27475488,"x38","Control"
"332",15,"High",6.25,1.82002747,"x38","Control"
"333",9,"High",13,0,"x38","Control"
"334",5,"High",-1.25,5.15388203,"x38","Control"
"335",1,"Low",-18.125,1.46308749,"x38","Control"
"336",15,"High",13,0,"x38","Control"
"337",3,"Low",-9.125,0.5153882,"x38","Control"
"338",9,"Low",-9.625,0.375,"x38","Control"
"339",1,"High",-3.75,0.55901699,"x38","Control"
"340",5,"Low",-10.375,1.28086885,"x38","Control"
"341",3,"High",-1.5,1.03077641,"x38","Control"
"342",15,"Low",-4.25,1.92028644,"x38","Control"
"343",9,"High",13,0,"x38","Control"
"344",15,"High",13,0,"x38","Control"
"345",3,"Low",-9.125,1.17924764,"x38","Control"
"346",1,"Low",-14.75,1.87082869,"x38","Control"
"347",5,"Low",-12.375,1.32876823,"x38","Control"
"348",3,"High",-0.625,1.875,"x38","Control"
"349",9,"Low",-8.875,1.28086885,"x38","Control"
"350",5,"High",8.75,0.8291562,"x38","Control"
"351",15,"Low",-8.25,1.27475488,"x38","Control"
"352",1,"High",-2.25,0.55901699,"x38","Control"
"353",9,"Low",-10.875,0.6731456,"x38","Control"
"354",1,"Low",-17.25,1.11803399,"x38","Control"
"355",15,"High",6.25,1.60078106,"x38","Control"
"356",9,"High",-3.125,3.04394892,"x38","Control"
"357",3,"High",3.125,1.125,"x38","Control"
"358",3,"Low",-3.625,1.875,"x38","Control"
"359",15,"Low",-7,0.96824584,"x38","Control"
"360",5,"Low",-7.75,1.5,"x38","Control"
