"","freq","threshold","sd","subj","task"
"137","Low",-17,1,"x27","Task"
"138","Low",-15.66666667,1.79505494,"x27","Task"
"139","High",-15,1.91485422,"x27","Task"
"140","Low",-16,1.63299316,"x27","Task"
"141","High",-15.33333333,1.49071198,"x27","Task"
"142","High",-14.66666667,2.21108319,"x27","Task"
"143","Low",-16.66666667,1.88561808,"x27","Task"
"144","Low",-17,1,"x27","Task"
"145","High",-15.33333333,1.49071198,"x27","Task"
"146","Low",-14,1.63299316,"x23","Control"
"147","High",-18.66666667,1.49071198,"x23","Control"
"148","Low",-14.66666667,2.49443826,"x23","Control"
"149","High",-18.66666667,4.10960934,"x23","Control"
"150","High",-15.66666667,3.14466038,"x23","Control"
"151","Low",-13.33333333,1.49071198,"x23","Control"
"152","Low",-10.33333333,3.14466038,"x23","Control"
"153","High",-10.66666667,4.85340659,"x23","Control"
"154","High",-16,2.30940108,"x23","Control"
"155","Low",-13,3.41565026,"x23","Control"
"156","High",-19,1.91485422,"x23","Control"
"157","Low",-15,1,"x23","Control"
"158","Low",-14,2.5819889,"x01","Control"
"159","High",-18.66666667,2.21108319,"x01","Control"
"160","High",-20.66666667,1.49071198,"x01","Control"
"161","Low",-15.33333333,2.21108319,"x01","Control"
"162","High",-19,1,"x01","Control"
"163","Low",-15.33333333,2.21108319,"x01","Control"
"164","Low",-15,2.76887462,"x01","Control"
"165","High",-19,1.91485422,"x01","Control"
"166","High",-21,2.51661148,"x01","Control"
"167","Low",-15.33333333,1.49071198,"x01","Control"
"168","High",-18,1.63299316,"x01","Control"
"169","Low",-16.33333333,1.37436854,"x01","Control"
"170","High",-21,2.51661148,"x02","Control"
"171","Low",-20.33333333,1.37436854,"x02","Control"
"172","High",-22.33333333,2.92498813,"x02","Control"
"173","Low",-20.33333333,1.79505494,"x02","Control"
"174","Low",-19.66666667,1.79505494,"x02","Control"
"175","High",-22.33333333,1.79505494,"x02","Control"
"176","Low",-21.66666667,2.13437475,"x02","Control"
"177","High",-23.66666667,2.13437475,"x02","Control"
"178","High",-26,2.5819889,"x02","Control"
"179","Low",-20,2.5819889,"x02","Control"
"180","Low",-15.66666667,3.54338194,"x02","Control"
"181","High",-21,2.51661148,"x02","Control"
"182","Low",-17.33333333,3.19722102,"x06","Control"
"183","High",-17.33333333,4.10960934,"x06","Control"
"184","Low",-18,1.63299316,"x06","Control"
"185","High",-18.33333333,2.13437475,"x06","Control"
"186","High",-19.33333333,1.49071198,"x06","Control"
"187","Low",-17.33333333,1.49071198,"x06","Control"
"188","High",-13.33333333,2.21108319,"x06","Control"
"189","Low",-15.66666667,2.13437475,"x06","Control"
"190","High",-16,4.3204938,"x06","Control"
"191","Low",-20,1.63299316,"x06","Control"
"192","Low",-15.66666667,1.37436854,"x06","Control"
"193","High",-6.66666667,1.49071198,"x06","Control"
"194","Low",-17.66666667,1.37436854,"x07","Control"
"195","High",-15,1,"x07","Control"
"196","Low",-15,1.91485422,"x07","Control"
"197","High",-17.33333333,2.21108319,"x07","Control"
"198","High",-19,2.51661148,"x07","Control"
"199","Low",-18,1.63299316,"x07","Control"
"200","Low",-17,1.91485422,"x07","Control"
"201","High",-18,2.30940108,"x07","Control"
"202","High",-17,2.76887462,"x07","Control"
"203","Low",-17.66666667,2.13437475,"x07","Control"
"204","High",-17.33333333,2.21108319,"x07","Control"
"205","Low",-16.33333333,2.13437475,"x07","Control"
"206","Low",-16.66666667,2.49443826,"x08","Control"
"207","High",-19,1.91485422,"x08","Control"
"208","High",-15,1.91485422,"x08","Control"
"209","Low",-18.33333333,2.68741925,"x08","Control"
"210","High",-18,1.63299316,"x08","Control"
"211","Low",-14.66666667,3.77123617,"x08","Control"
"212","Low",-11.66666667,1.37436854,"x08","Control"
"213","High",-16.33333333,2.92498813,"x08","Control"
"214","Low",-17.66666667,2.13437475,"x08","Control"
"215","High",-18.66666667,2.21108319,"x08","Control"
"216","Low",-16,2.5819889,"x08","Control"
"217","High",-17.33333333,1.49071198,"x08","Control"
"218","Low",-14,3.46410162,"x09","Control"
"219","High",-18,3.46410162,"x09","Control"
"220","High",-17,2.51661148,"x09","Control"
"221","Low",-16.66666667,2.21108319,"x09","Control"
"222","Low",-17,2.51661148,"x09","Control"
"223","High",-14.33333333,2.13437475,"x09","Control"
"224","Low",-15.66666667,2.4267033,"x09","Control"
"225","High",-17.33333333,1.49071198,"x09","Control"
"226","High",-15,1.91485422,"x09","Control"
"227","Low",-16.33333333,2.13437475,"x09","Control"
"228","High",-17.66666667,2.13437475,"x09","Control"
"229","Low",-15.66666667,2.13437475,"x09","Control"
"230","High",-22.66666667,1.49071198,"x10","Control"
"231","Low",-18.66666667,1.49071198,"x10","Control"
"232","Low",-19,2.51661148,"x10","Control"
"233","High",-22.33333333,1.37436854,"x10","Control"
"234","High",-22.66666667,1.49071198,"x10","Control"
"235","Low",-20.33333333,1.79505494,"x10","Control"
"236","Low",-19,1.91485422,"x10","Control"
"237","High",-20.33333333,1.79505494,"x10","Control"
"238","High",-22.33333333,1.79505494,"x10","Control"
"239","Low",-19.66666667,2.13437475,"x10","Control"
"240","High",-20.66666667,1.49071198,"x10","Control"
"241","Low",-19.33333333,1.49071198,"x10","Control"
"242","Low",-18.33333333,1.37436854,"x11","Control"
"243","High",-20.33333333,3.54338194,"x11","Control"
"244","High",-16,4.47213595,"x11","Control"
"245","Low",-13,3,"x11","Control"
"246","Low",-20,2.30940108,"x11","Control"
"247","High",-3,1,"x11","Control"
"248","High",-2.66666667,3.19722102,"x11","Control"
"249","Low",-10,2.30940108,"x11","Control"
"250","High",-3,1.91485422,"x11","Control"
"251","Low",-12.66666667,2.21108319,"x11","Control"
"252","High",-3,2.76887462,"x11","Control"
"253","Low",-1.33333333,1.49071198,"x11","Control"
"254","High",-21.33333333,1.49071198,"x15","Control"
"255","Low",-15.33333333,1.49071198,"x15","Control"
"256","High",-25,1.91485422,"x15","Control"
"257","Low",-18.66666667,1.49071198,"x15","Control"
"258","Low",-17,1.91485422,"x15","Control"
"259","High",-19.66666667,2.13437475,"x15","Control"
"260","Low",-18.66666667,1.49071198,"x15","Control"
"261","High",-23.66666667,2.13437475,"x15","Control"
"262","Low",-17.66666667,2.13437475,"x15","Control"
"263","High",-26.66666667,1.49071198,"x15","Control"
"264","Low",-16,4.3204938,"x15","Control"
"265","High",-19.33333333,2.21108319,"x15","Control"
"266","Low",-19.66666667,1.37436854,"x20","Control"
"267","High",-20.33333333,2.13437475,"x20","Control"
"268","Low",-21,1,"x20","Control"
"269","High",-22.66666667,1.49071198,"x20","Control"
"270","High",-23.33333333,3.77123617,"x20","Control"
"271","Low",-21,1.91485422,"x20","Control"
"272","Low",-21.66666667,1.37436854,"x20","Control"
"273","High",-23.33333333,1.49071198,"x20","Control"
"274","High",-24.33333333,1.37436854,"x20","Control"
"275","Low",-21.66666667,1.79505494,"x20","Control"
"276","High",-24.33333333,1.79505494,"x20","Control"
"277","Low",-22,1.63299316,"x20","Control"
"278","High",-22,1.63299316,"x27","Control"
"279","Low",-20.66666667,1.49071198,"x27","Control"
"280","Low",-19.33333333,1.49071198,"x27","Control"
"281","High",-21.33333333,1.49071198,"x27","Control"
"282","High",-19.33333333,3.94405319,"x27","Control"
"283","Low",-19,1,"x27","Control"
"284","High",-21.33333333,2.98142397,"x27","Control"
"285","Low",-20.66666667,1.88561808,"x27","Control"
"286","Low",-20.66666667,2.21108319,"x27","Control"
"287","High",-20.33333333,2.4267033,"x27","Control"
"288","High",-19.33333333,1.49071198,"x27","Control"
"289","Low",-20.66666667,1.49071198,"x27","Control"
