"","freq","threshold","sd","subj","task"
"129","High",-24.33333333,1.37436854,"x20","Control"
"130","Low",-21.66666667,1.79505494,"x20","Control"
"131","High",-24.33333333,1.79505494,"x20","Control"
"132","Low",-22,1.63299316,"x20","Control"
"133","High",-22,1.63299316,"x27","Control"
"134","Low",-20.66666667,1.49071198,"x27","Control"
"135","Low",-19.33333333,1.49071198,"x27","Control"
"136","High",-21.33333333,1.49071198,"x27","Control"
"137","High",-19.33333333,3.94405319,"x27","Control"
"138","Low",-19,1,"x27","Control"
"139","High",-21.33333333,2.98142397,"x27","Control"
"140","Low",-20.66666667,1.88561808,"x27","Control"
"141","Low",-20.66666667,2.21108319,"x27","Control"
"142","High",-20.33333333,2.4267033,"x27","Control"
"143","High",-19.33333333,1.49071198,"x27","Control"
"144","Low",-20.66666667,1.49071198,"x27","Control"
"146","Low",-14.66666667,1.49071198,"x01","Task"
"147","High",-7.66666667,4.22952585,"x01","Task"
"148","Low",-14.66666667,1.88561808,"x01","Task"
"149","High",-12.33333333,1.37436854,"x01","Task"
"150","Low",-16,1.63299316,"x01","Task"
"151","High",-12.33333333,1.37436854,"x01","Task"
"152","Low",-16.33333333,2.13437475,"x01","Task"
"153","High",-10.33333333,1.79505494,"x01","Task"
"154","High",-11.33333333,2.49443826,"x01","Task"
"155","Low",-15.33333333,1.49071198,"x01","Task"
"156","Low",-15,1,"x01","Task"
"157","High",-12,2,"x01","Task"
"158","High",-18,1.63299316,"x02","Task"
"159","Low",-18,2,"x02","Task"
"160","High",-19.66666667,1.79505494,"x02","Task"
"161","Low",-16.66666667,2.21108319,"x02","Task"
"162","High",-17.66666667,2.68741925,"x02","Task"
"163","Low",-17,1.91485422,"x02","Task"
"164","Low",-17.33333333,2.49443826,"x02","Task"
"165","High",-18.33333333,2.13437475,"x02","Task"
"166","Low",-16.33333333,1.37436854,"x02","Task"
"167","High",-18.33333333,2.68741925,"x02","Task"
"168","High",-19.66666667,2.13437475,"x02","Task"
"169","Low",-17.33333333,1.49071198,"x02","Task"
"170","Low",-9,1.91485422,"x06","Task"
"171","High",0,0,"x06","Task"
"172","High",-2.66666667,1.49071198,"x06","Task"
"173","Low",-2.33333333,1.37436854,"x06","Task"
"174","High",0,0,"x06","Task"
"175","Low",-3.33333333,2.49443826,"x06","Task"
"176","Low",-11.33333333,1.49071198,"x06","Task"
