"","n_comp","freq","threshold","sd","subj","task"
"173",9,"High",13,0,"x34","Task"
"174",3,"High",13,0,"x34","Task"
"175",15,"High",2.08333333,4.30519712,"x34","Task"
"176",9,"Low",-8,0.93541435,"x34","Task"
"177",5,"High",13,0,"x34","Task"
"178",5,"Low",-9.875,0.80039053,"x34","Task"
"179",15,"Low",-6.75,1.11803399,"x34","Task"
"180",3,"Low",-15.625,0.9437293,"x34","Task"
"181",5,"Low",-7.375,1.28086885,"x34","Task"
"182",5,"High",13,0,"x34","Task"
"183",9,"Low",-9.75,1.11803399,"x34","Task"
"184",9,"High",13,0,"x34","Task"
"185",3,"High",13,0,"x34","Task"
"186",15,"Low",-7.875,1.58607219,"x34","Task"
"187",15,"High",13,0,"x34","Task"
"188",9,"Low",-7.75,0.96824584,"x34","Task"
"189",3,"High",13,0,"x34","Task"
"190",15,"High",13,0,"x34","Task"
"191",15,"Low",-3.5,2.6925824,"x34","Task"
"192",5,"Low",-11.125,1.28086885,"x34","Task"
"193",9,"High",13,0,"x34","Task"
"194",5,"High",4.08333333,2.69516027,"x34","Task"
"195",3,"Low",-8.125,1.125,"x34","Task"
"196",15,"High",13,0,"x34","Task"
"197",9,"Low",-3.875,2.50312305,"x34","Task"
"198",3,"High",13,0,"x34","Task"
"199",15,"Low",-3.75,0.8291562,"x34","Task"
"200",5,"Low",-8.25,1.27475488,"x34","Task"
"201",9,"High",13,0,"x34","Task"
"202",5,"High",13,0,"x34","Task"
"203",3,"Low",-14,0.55901699,"x34","Task"
"204",5,"Low",-10.625,1.80710404,"x38","Task"
"205",5,"High",13,0,"x38","Task"
"206",3,"High",2.33333333,5.29084639,"x38","Task"
"207",3,"Low",8.04166667,2.02801559,"x38","Task"
"208",15,"High",13,0,"x38","Task"
"209",9,"Low",-8.125,0.71807033,"x38","Task"
"210",9,"High",13,0,"x38","Task"
"211",15,"Low",-7.625,0.80039053,"x38","Task"
"212",15,"Low",-6.125,1.32876823,"x38","Task"
"213",5,"Low",-4.25,1.11803399,"x38","Task"
"214",5,"High",13,0,"x38","Task"
"215",3,"Low",13,0,"x38","Task"
"216",9,"Low",-10.125,1.00778222,"x38","Task"
"217",9,"High",13,0,"x38","Task"
"218",15,"High",13,0,"x38","Task"
"219",3,"High",6.75,1.03077641,"x38","Task"
"220",5,"Low",-11.375,0.80039053,"x38","Task"
"221",15,"Low",-8.5,0.61237244,"x38","Task"
"222",3,"Low",-2.875,1.125,"x38","Task"
"223",5,"High",13,0,"x38","Task"
"224",3,"High",1.375,1.70018381,"x38","Task"
"225",9,"High",13,0,"x38","Task"
"226",9,"Low",-9.875,1.32876823,"x38","Task"
"227",15,"High",13,0,"x38","Task"
"228",5,"Low",-11.75,1.11803399,"x38","Task"
"229",9,"Low",-14.375,1.00778222,"x38","Task"
"230",3,"Low",-7.125,1.32876823,"x38","Task"
"231",15,"High",13,0,"x38","Task"
"232",5,"High",13,0,"x38","Task"
"233",15,"Low",-8.5,0.61237244,"x38","Task"
"234",3,"High",13,0,"x38","Task"
"235",9,"High",7.45833333,1.81094282,"x38","Task"
"236",9,"Low",-11.125,1.125,"x38","Task"
"237",3,"High",0.375,2.50312305,"x38","Task"
"238",9,"High",13,0,"x38","Task"
"239",5,"Low",-10.625,0.80039053,"x38","Task"
"240",15,"High",13,0,"x38","Task"
"241",5,"High",13,0,"x38","Task"
"242",15,"Low",-9.875,1.00778222,"x38","Task"
"243",3,"Low",-1.5,0.55901699,"x38","Task"
"244",15,"Low",-4.875,0.80039053,"x38","Task"
"245",5,"High",8.625,2.00390244,"x38","Task"
"246",5,"Low",-9.125,0.91001374,"x38","Task"
"247",9,"Low",-9.75,1.41421356,"x38","Task"
"248",3,"Low",-4,0.61237244,"x38","Task"
"249",3,"High",13,0,"x38","Task"
"250",9,"High",13,0,"x38","Task"
"251",15,"High",13,0,"x38","Task"
"252",5,"Low",-10,1.06066017,"x38","Task"
"253",3,"Low",7.25,3.14245127,"x40","Task"
"254",15,"Low",-1.875,2.18303115,"x40","Task"
"255",15,"High",-5.125,5.49004781,"x40","Task"
"256",9,"Low",-2,0.8291562,"x40","Task"
"257",3,"High",13,0,"x40","Task"
"258",5,"Low",3.125,1.28086885,"x40","Task"
"259",5,"High",13,0,"x40","Task"
"260",9,"High",13,0,"x40","Task"
"261",9,"Low",-7.5,0.55901699,"x40","Task"
"262",3,"Low",13,0,"x40","Task"
"263",15,"High",13,0,"x40","Task"
"264",15,"Low",-4.125,0.80039053,"x40","Task"
"265",3,"High",9.29166667,0.97271813,"x40","Task"
"266",9,"High",13,0,"x40","Task"
"267",5,"Low",3,1.03077641,"x40","Task"
"268",5,"High",3.25,3.91311896,"x40","Task"
"269",9,"Low",-4.375,1.03832798,"x40","Task"
"270",3,"Low",7.125,0.5153882,"x40","Task"
"271",9,"High",13,0,"x40","Task"
"272",5,"Low",2,1.22474487,"x40","Task"
"273",15,"High",4.125,2.50312305,"x40","Task"
"274",15,"Low",-7.125,0.80039053,"x40","Task"
"275",3,"High",13,0,"x40","Task"
"276",5,"High",13,0,"x40","Task"
"277",9,"Low",-5.375,1.46308749,"x40","Task"
"278",15,"Low",-0.875,1.80710404,"x40","Task"
"279",15,"High",13,0,"x40","Task"
"280",3,"High",13,0,"x40","Task"
"281",5,"High",13,0,"x40","Task"
"282",3,"Low",6.75,1.41421356,"x40","Task"
"283",9,"High",1.75,4.03112887,"x40","Task"
"284",5,"Low",8,0.61237244,"x40","Task"
"285",5,"High",13,0,"x40","Task"
"286",15,"High",13,0,"x40","Task"
