"","n_comp","freq","threshold","sd","subj"
"150",5,"300",-5.625,1.58607219,"x34"
"151",15,"300",-4.875,0.91001374,"x34"
"152",3,"300",-10.125,1.00778222,"x34"
"153",9,"300",-12.5,1.11803399,"x34"
"154",3,"300",-10.25,0.70710678,"x34"
"155",9,"300",-7.375,1.03832798,"x34"
"156",5,"300",-11,0.70710678,"x34"
"157",9,"6100",13,0,"x34"
"158",15,"300",-3.5,1.3462912,"x34"
"159",5,"6100",13,0,"x34"
"160",3,"6100",13,0,"x34"
"161",15,"6100",13,0,"x34"
"162",5,"300",-10.75,0.8660254,"x34"
"163",5,"6100",13,0,"x34"
"164",3,"300",-10.625,1.80710404,"x34"
"165",15,"300",-4.625,1.17924764,"x34"
"166",9,"300",-5.25,0.55901699,"x34"
"167",9,"6100",13,0,"x34"
"168",15,"6100",0,0.55901699,"x34"
"169",3,"6100",13,0,"x34"
"170",3,"300",-9.625,0.375,"x34"
"171",9,"6100",13,0,"x34"
"172",3,"6100",13,0,"x34"
"173",15,"6100",2.08333333,4.30519712,"x34"
"174",9,"300",-8,0.93541435,"x34"
"175",5,"6100",13,0,"x34"
"176",5,"300",-9.875,0.80039053,"x34"
"177",15,"300",-6.75,1.11803399,"x34"
"178",3,"300",-15.625,0.9437293,"x34"
"179",5,"300",-7.375,1.28086885,"x34"
"180",5,"6100",13,0,"x34"
"181",9,"300",-9.75,1.11803399,"x34"
"182",9,"6100",13,0,"x34"
"183",3,"6100",13,0,"x34"
"184",15,"300",-7.875,1.58607219,"x34"
"185",15,"6100",13,0,"x34"
"186",9,"300",-7.75,0.96824584,"x34"
"187",3,"6100",13,0,"x34"
"188",15,"6100",13,0,"x34"
"189",15,"300",-3.5,2.6925824,"x34"
"190",5,"300",-11.125,1.28086885,"x34"
"191",9,"6100",13,0,"x34"
"192",5,"6100",4.08333333,2.69516027,"x34"
"193",3,"300",-8.125,1.125,"x34"
"194",15,"6100",13,0,"x34"
"195",9,"300",-3.875,2.50312305,"x34"
"196",3,"6100",13,0,"x34"
"197",15,"300",-3.75,0.8291562,"x34"
"198",5,"300",-8.25,1.27475488,"x34"
"199",9,"6100",13,0,"x34"
"200",5,"6100",13,0,"x34"
"201",3,"300",-14,0.55901699,"x34"
"202",3,"300",7.25,3.14245127,"x40"
"203",15,"300",-1.875,2.18303115,"x40"
"204",15,"6100",-5.125,5.49004781,"x40"
"205",9,"300",-2,0.8291562,"x40"
"206",3,"6100",13,0,"x40"
"207",5,"300",3.125,1.28086885,"x40"
"208",5,"6100",13,0,"x40"
"209",9,"6100",13,0,"x40"
"210",9,"300",-7.5,0.55901699,"x40"
"211",3,"300",13,0,"x40"
"212",15,"6100",13,0,"x40"
"213",15,"300",-4.125,0.80039053,"x40"
"214",3,"6100",9.29166667,0.97271813,"x40"
"215",9,"6100",13,0,"x40"
"216",5,"300",3,1.03077641,"x40"
"217",5,"6100",3.25,3.91311896,"x40"
"218",9,"300",-4.375,1.03832798,"x40"
"219",3,"300",7.125,0.5153882,"x40"
"220",9,"6100",13,0,"x40"
"221",5,"300",2,1.22474487,"x40"
"222",15,"6100",4.125,2.50312305,"x40"
"223",15,"300",-7.125,0.80039053,"x40"
"224",3,"6100",13,0,"x40"
"225",5,"6100",13,0,"x40"
"226",9,"300",-5.375,1.46308749,"x40"
"227",15,"300",-0.875,1.80710404,"x40"
"228",15,"6100",13,0,"x40"
"229",3,"6100",13,0,"x40"
"230",5,"6100",13,0,"x40"
"231",3,"300",6.75,1.41421356,"x40"
"232",9,"6100",1.75,4.03112887,"x40"
"233",5,"300",8,0.61237244,"x40"
"234",5,"6100",13,0,"x40"
"235",15,"6100",13,0,"x40"
"236",5,"300",3.25,0.96824584,"x40"
"237",3,"6100",0.625,2.7866871,"x40"
"238",15,"300",-3.125,4.92601512,"x40"
"239",3,"300",1,0.8291562,"x40"
"240",9,"300",-5.875,0.375,"x40"
"241",9,"6100",13,0,"x40"
"242",3,"6100",1.375,1.85825859,"x40"
"243",9,"6100",13,0,"x40"
"244",5,"300",-0.625,1.32876823,"x40"
"245",9,"300",-5.5,0.75,"x40"
"246",5,"6100",13,0,"x40"
"247",15,"6100",13,0,"x40"
"248",15,"300",-5,1.5411035,"x40"
"249",3,"300",13,0,"x40"
"250",15,"6100",13,0,"x40"
"251",9,"300",-6.375,1.46308749,"x40"
"252",15,"300",-5.625,1.17924764,"x40"
"253",9,"6100",13,0,"x40"
"254",3,"300",3.625,1.125,"x40"
"255",5,"300",0.625,2.09538183,"x40"
"256",5,"6100",4.45833333,6.15666419,"x40"
"257",3,"6100",13,0,"x40"
"258",9,"6100",1.125,2.7185704,"x40"
"259",3,"300",13,0,"x40"
"260",15,"6100",13,0,"x40"
"261",3,"6100",8.375,1.125,"x40"
"262",5,"300",-0.875,1.00778222,"x40"
"263",5,"6100",13,0,"x40"
"264",9,"300",-8.125,1.03832798,"x40"
"265",15,"300",-6.625,0.375,"x40"
"266",9,"6100",13,0,"x40"
"267",3,"300",-1.75,1.14564392,"x40"
"268",15,"300",-5.375,0.6731456,"x40"
"269",15,"6100",-2.41666667,5.72579446,"x40"
"270",5,"6100",13,0,"x40"
"271",5,"300",-2.375,2.09538183,"x40"
"272",3,"6100",-0.125,1.46308749,"x40"
"273",9,"300",-8.875,1.66301684,"x40"
"274",5,"6100",0.75,2.76134025,"x40"
"275",3,"300",2.375,1.875,"x40"
"276",3,"6100",8.625,0.875,"x40"
"277",9,"6100",13,0,"x40"
"278",5,"300",-4.75,1.29903811,"x40"
"279",15,"300",-5.25,1.92028644,"x40"
"280",15,"6100",13,0,"x40"
"281",9,"300",-10.75,0.75,"x40"
"282",3,"300",-0.125,4.04853369,"x40"
"283",9,"6100",13,0,"x40"
"284",3,"6100",13,0,"x40"
"285",15,"300",-4.375,2.15421099,"x40"
"286",5,"300",-6.875,0.6731456,"x40"
"287",5,"6100",13,0,"x40"
"288",15,"6100",13,0,"x40"
"289",9,"300",-10,0.96824584,"x40"
"290",5,"300",-3.125,1.00778222,"x40"
"291",5,"6100",13,0,"x40"
"292",3,"6100",13,0,"x40"
"293",15,"6100",13,0,"x40"
"294",9,"300",-10.875,0.5153882,"x40"
"295",3,"300",0.125,0.9437293,"x40"
"296",15,"300",-5.875,0.375,"x40"
"297",9,"6100",13,0,"x40"
"298",3,"300",1.125,1.90804219,"x45"
"299",9,"300",-6.25,1.43614066,"x45"
"300",15,"6100",-2.125,1.60565407,"x45"
"301",3,"6100",13,0,"x45"
"302",5,"6100",13,0,"x45"
"303",9,"6100",13,0,"x45"
"304",15,"300",-6.5,0.8291562,"x45"
"305",5,"300",2.625,0.80039053,"x45"
"306",5,"300",-2,1.27475488,"x45"
"307",3,"6100",13,0,"x45"
"308",15,"6100",13,0,"x45"
"309",9,"6100",2.625,1.00778222,"x45"
"310",15,"300",-6.125,1.00778222,"x45"
"311",5,"6100",7.75,2.54950976,"x45"
"312",3,"300",-1.5,1.71391365,"x45"
"313",9,"300",-7.125,0.80039053,"x45"
"314",5,"300",-1,0.8660254,"x45"
"315",9,"6100",13,0,"x45"
"316",9,"300",-7.625,1.75445861,"x45"
"317",5,"6100",13,0,"x45"
"318",15,"300",-5.875,0.71807033,"x45"
"319",3,"300",-1.875,0.5153882,"x45"
"320",3,"6100",13,0,"x45"
"321",15,"6100",13,0,"x45"
"322",3,"300",-5.375,1.95655948,"x45"
"323",9,"6100",13,0,"x45"
"324",15,"300",-4.5,0.55901699,"x45"
"325",3,"6100",13,0,"x45"
"326",15,"6100",-0.625,2.47802845,"x45"
"327",5,"300",-1.625,0.80039053,"x45"
"328",9,"300",-6.625,0.71807033,"x45"
"329",5,"6100",-1.625,2.98171511,"x45"
"330",15,"6100",13,0,"x45"
"331",5,"6100",13,0,"x45"
"332",9,"6100",13,0,"x45"
"333",9,"300",-7.125,1.00778222,"x45"
"334",3,"6100",-1.875,3.88305614,"x45"
"335",15,"300",-1.75,0.61237244,"x45"
"336",3,"300",-4.625,0.91001374,"x45"
"337",5,"300",-1.75,0.75,"x45"
"338",9,"300",-4.5,0.8291562,"x45"
"339",15,"6100",13,0,"x45"
"340",3,"6100",1.875,1.70018381,"x45"
"341",5,"6100",13,0,"x45"
"342",9,"6100",13,0,"x45"
"343",5,"300",-3.25,0.8660254,"x45"
"344",15,"300",-2,0.8291562,"x45"
"345",3,"300",-3,1.03077641,"x45"
"346",5,"6100",7.70833333,1.26997922,"x45"
"347",9,"6100",13,0,"x45"
"348",3,"300",-5.875,1.03832798,"x45"
"349",5,"300",-1.375,1.125,"x45"
"350",15,"6100",3.25,2.35849528,"x45"
"351",9,"300",-8.625,0.5153882,"x45"
"352",15,"300",-4.375,0.71807033,"x45"
"353",3,"6100",6.875,1.28086885,"x45"
"354",5,"300",-4.125,1.17924764,"x45"
"355",5,"6100",13,0,"x45"
"356",9,"6100",13,0,"x45"
"357",15,"300",-6.75,1.60078106,"x45"
"358",15,"6100",13,0,"x45"
"359",9,"300",-7.625,0.80039053,"x45"
"360",3,"300",-4.875,0.5153882,"x45"
"361",3,"6100",1.875,2.98171511,"x45"
"362",3,"300",-6.25,0.96824584,"x45"
"363",5,"300",-1.5,0.55901699,"x45"
"364",5,"6100",13,0,"x45"
"365",15,"6100",13,0,"x45"
"366",9,"6100",13,0,"x45"
"367",15,"300",-7.125,2.00390244,"x45"
"368",9,"300",-5,1.03077641,"x45"
"369",3,"6100",13,0,"x45"
"370",3,"6100",6.375,1.17924764,"x45"
"371",5,"300",-3,1.41421356,"x45"
"372",15,"6100",13,0,"x45"
"373",3,"300",-2.625,0.80039053,"x45"
"374",15,"300",-9.75,0.55901699,"x45"
"375",9,"300",-8,0.55901699,"x45"
"376",5,"6100",13,0,"x45"
"377",9,"6100",13,0,"x45"
"378",9,"6100",1.625,1.875,"x45"
"379",5,"300",-6.75,0.55901699,"x45"
"380",15,"6100",13,0,"x45"
"381",9,"300",-9.875,0.5153882,"x45"
"382",15,"300",-5.875,1.28086885,"x45"
"383",5,"6100",13,0,"x45"
"384",3,"6100",6.58333333,1.61158997,"x45"
"385",3,"300",-12.125,2.50312305,"x45"
"386",9,"6100",13,0,"x45"
"387",15,"300",-1.75,1.67705098,"x45"
"388",3,"300",-17.625,1.17924764,"x45"
"389",5,"300",-4.25,0.8291562,"x45"
"390",9,"300",-8.25,1.03077641,"x45"
"391",15,"6100",13,0,"x45"
"392",3,"6100",13,0,"x45"
"393",5,"6100",13,0,"x45"
"394",5,"6100",13,0,"x46"
"395",15,"6100",2.125,1.17924764,"x46"
"396",9,"6100",13,0,"x46"
"397",9,"300",1.375,2.13965535,"x46"
"398",3,"6100",13,0,"x46"
"399",15,"300",5.25,1.3462912,"x46"
"400",3,"300",0.25,0.96824584,"x46"
"401",5,"300",-2.875,1.82431494,"x46"
"402",5,"6100",13,0,"x46"
"403",3,"6100",2.75,4.3517238,"x46"
"404",5,"300",-4.875,2.05015243,"x46"
"405",15,"6100",13,0,"x46"
"406",9,"6100",13,0,"x46"
"407",9,"300",-0.75,1.5411035,"x46"
"408",15,"300",-0.875,0.80039053,"x46"
"409",3,"300",-3.125,1.00778222,"x46"
"410",5,"300",-10.25,3.53553391,"x46"
"411",5,"6100",13,0,"x46"
"412",9,"300",-4.875,0.5153882,"x46"
"413",3,"300",-7.625,2.95010593,"x46"
"414",15,"6100",13,0,"x46"
"415",3,"6100",8.25,2.23606798,"x46"
"416",15,"300",-4.25,1.5411035,"x46"
"417",9,"6100",6.125,6.28614548,"x46"
"418",15,"300",-0.125,0.6731456,"x46"
"419",15,"6100",6.25,3.52668399,"x46"
"420",3,"6100",5.125,2.09538183,"x46"
"421",3,"300",-12,0.8291562,"x46"
"422",5,"6100",7.375,2.64870251,"x46"
"423",9,"300",-5.375,2.09538183,"x46"
"424",9,"6100",6.25,2.35849528,"x46"
"425",5,"300",-7.25,0.55901699,"x46"
"426",15,"300",-2.5,1.06066017,"x46"
"427",5,"6100",5.20833333,2.57963445,"x46"
"428",9,"6100",7.625,1.66301684,"x46"
"429",9,"300",-7.25,1.11803399,"x46"
"430",15,"6100",8.875,0.71807033,"x46"
"431",3,"300",-1.625,1.09687055,"x46"
"432",3,"6100",4.875,3.16474723,"x46"
"433",5,"300",-1.5,0.93541435,"x46"
"434",15,"300",0.875,0.375,"x46"
"435",5,"300",-8.625,1.17924764,"x46"
"436",5,"6100",4.875,5.35169366,"x46"
"437",15,"6100",-3.75,1.82002747,"x46"
"438",9,"300",-1.25,1.41421356,"x46"
"439",9,"6100",13,0,"x46"
"440",3,"300",-10.75,1.43614066,"x46"
"441",3,"6100",3.08333333,4.51309822,"x46"
"442",15,"6100",3.83333333,4.74268443,"x46"
"443",3,"6100",13,0,"x46"
"444",9,"300",-4.375,1.125,"x46"
"445",15,"300",-5,2.31840462,"x46"
"446",5,"300",-12.5,1.11803399,"x46"
"447",3,"300",-5.375,1.00778222,"x46"
"448",9,"6100",13,0,"x46"
"449",5,"6100",13,0,"x46"
"450",15,"300",-1.75,0.96824584,"x46"
"451",9,"6100",13,0,"x46"
"452",5,"300",-5.5,0.61237244,"x46"
"453",3,"300",-9.875,0.80039053,"x46"
"454",9,"300",-8.875,1.20545635,"x46"
"455",5,"6100",13,0,"x46"
"456",15,"6100",13,0,"x46"
"457",3,"6100",13,0,"x46"
"458",9,"6100",13,0,"x46"
"459",5,"300",-5.125,0.71807033,"x46"
"460",3,"6100",13,0,"x46"
"461",9,"300",-4.875,1.17924764,"x46"
"462",15,"300",-6.75,1.03077641,"x46"
"463",15,"6100",13,0,"x46"
"464",5,"6100",13,0,"x46"
"465",3,"300",-12.125,1.80710404,"x46"
"466",3,"300",-5.625,0.5153882,"x46"
"467",9,"300",-4.5,1.19895788,"x46"
"468",5,"300",-8.75,1.82002747,"x46"
"469",15,"6100",13,0,"x46"
"470",3,"6100",13,0,"x46"
"471",9,"6100",13,0,"x46"
"472",15,"300",-3.625,2.40117159,"x46"
"473",5,"6100",13,0,"x46"
"474",15,"300",-4.75,1.14564392,"x46"
"475",5,"300",-7.875,1.00778222,"x46"
"476",15,"6100",13,0,"x46"
"477",3,"300",-7.875,0.80039053,"x46"
"478",9,"6100",13,0,"x46"
"479",9,"300",-6.125,1.46308749,"x46"
"480",5,"6100",13,0,"x46"
"481",3,"6100",13,0,"x46"
"482",15,"6100",13,0,"x46"
"483",9,"300",-5.25,0.93541435,"x46"
"484",15,"300",-2.625,1.58607219,"x46"
