"","freq","threshold","sd","subj"
"178",2,0,0,"x32"
"179",2,0,0,"x32"
"180",1,-7,1,"x32"
"181",1,0,0,"x33"
"182",2,0,0,"x33"
"183",2,0,0,"x33"
"184",1,0,0,"x33"
"185",2,0,0,"x33"
"186",1,0,0,"x33"
"187",2,0,0,"x33"
"188",1,0,0,"x33"
"189",1,0,0,"x33"
"190",2,0,0,"x33"
"191",2,0,0,"x33"
"192",1,0,0,"x33"
"193",1,0,0,"x34"
"194",2,-1.66666667,1.79505494,"x34"
"195",2,0,0,"x34"
"196",1,-4.33333333,1.79505494,"x34"
"197",2,0,0,"x34"
"198",1,-6,1.63299316,"x34"
"199",2,-1.33333333,1.49071198,"x34"
"200",1,-4.33333333,2.68741925,"x34"
"201",1,-5.33333333,3.19722102,"x34"
"202",2,-3,2.51661148,"x34"
"203",1,-5.66666667,1.79505494,"x34"
"204",2,0,0,"x34"
"205",1,-7.66666667,2.13437475,"x35"
"206",2,-3.66666667,2.13437475,"x35"
"207",2,-1.33333333,1.49071198,"x35"
"208",1,-10.66666667,1.88561808,"x35"
"209",1,-10.33333333,1.79505494,"x35"
"210",2,-3.33333333,1.49071198,"x35"
"211",2,0,0,"x35"
"212",1,-10.33333333,1.37436854,"x35"
"213",1,-9.33333333,1.49071198,"x35"
"214",2,-1.33333333,1.49071198,"x35"
"215",2,0,0,"x35"
"216",1,-9,1,"x35"
"217",2,0,0,"x36"
"218",1,-6.33333333,3.14466038,"x36"
"219",1,-5,3,"x36"
"220",2,0,0,"x36"
"221",2,0,0,"x36"
"222",1,-5.33333333,2.21108319,"x36"
"223",2,0,0,"x36"
"224",1,-8.33333333,1.37436854,"x36"
"225",1,0,0,"x36"
"226",2,0,0,"x36"
"227",1,-4,2.5819889,"x36"
"228",2,0,0,"x36"
"229",1,0,0,"x37"
"230",2,0,0,"x37"
"231",1,0,0,"x37"
"232",2,0,0,"x37"
"233",2,0,0,"x37"
"234",1,0,0,"x37"
"235",1,0,0,"x37"
"236",2,0,0,"x37"
"237",2,0,0,"x37"
"238",1,0,0,"x37"
"239",1,0,0,"x37"
"240",2,0,0,"x37"
"241",2,0,0,"x38"
"242",1,-9,2.76887462,"x38"
"243",1,-3.33333333,1.49071198,"x38"
"244",2,-4,3.05505046,"x38"
"245",2,0,0,"x38"
"246",1,0,0,"x38"
"247",1,-2,1.63299316,"x38"
"248",2,0,0,"x38"
