"","freq","threshold","sd","subj","task"
"131","Low",-4.33333333,3.90156664,"x20","Control"
"132","High",0,0,"x20","Control"
"133","High",-9,1.91485422,"x25","Control"
"134","Low",-11.66666667,2.4267033,"x25","Control"
"135","High",-7.66666667,2.13437475,"x25","Control"
"136","Low",-10.66666667,1.49071198,"x25","Control"
"137","Low",-6,2.82842712,"x25","Control"
"138","High",-11.66666667,2.13437475,"x25","Control"
"139","Low",-11.33333333,1.49071198,"x25","Control"
"140","High",-15.66666667,2.4267033,"x25","Control"
"141","High",-16.33333333,1.37436854,"x25","Control"
"142","Low",-10.33333333,2.13437475,"x25","Control"
"143","Low",-11.66666667,2.13437475,"x25","Control"
"144","High",-13.33333333,1.49071198,"x25","Control"
"145","Low",-11,1,"x28","Control"
"146","High",-9,2.51661148,"x28","Control"
"147","Low",-10.33333333,1.79505494,"x28","Control"
"148","High",-9,3.60555128,"x28","Control"
"149","Low",-11.33333333,1.49071198,"x28","Control"
"150","High",-7,4.72581563,"x28","Control"
"151","Low",-10.33333333,2.13437475,"x28","Control"
"152","High",-3.33333333,2.98142397,"x28","Control"
"153","High",-4.33333333,3.34995854,"x28","Control"
"154","Low",-11.33333333,2.74873708,"x28","Control"
"155","High",-6.33333333,2.13437475,"x28","Control"
"156","Low",-6.33333333,4.67855628,"x28","Control"
"157","High",-7,3.41565026,"x29","Control"
"158","Low",-13,1.91485422,"x29","Control"
"159","Low",-13,1.91485422,"x29","Control"
"160","High",-7.66666667,3.14466038,"x29","Control"
"161","High",-13.33333333,1.49071198,"x29","Control"
"162","Low",-14.33333333,2.4267033,"x29","Control"
"163","Low",-11,1,"x29","Control"
"164","High",-10.66666667,4.71404521,"x29","Control"
"165","High",-11,1,"x29","Control"
"166","Low",-16,1.63299316,"x29","Control"
"167","High",-13,1,"x29","Control"
"168","Low",-14.66666667,2.21108319,"x29","Control"
"169","Low",-4,1.63299316,"x32","Control"
"170","High",-7,1.91485422,"x32","Control"
"171","Low",-10.66666667,1.49071198,"x32","Control"
"172","High",-4.66666667,3.19722102,"x32","Control"
"173","Low",-10,2,"x32","Control"
"174","High",-2,1.63299316,"x32","Control"
"175","High",-9,1.91485422,"x32","Control"
"176","Low",-8,2.5819889,"x32","Control"
"177","High",-8.66666667,2.21108319,"x32","Control"
"178","Low",-11.33333333,2.21108319,"x32","Control"
"179","High",-11.33333333,1.49071198,"x32","Control"
"180","Low",-7,2.51661148,"x32","Control"
"181","Low",-8.33333333,3.14466038,"x33","Control"
"182","High",-1,1,"x33","Control"
"183","Low",-7,2.51661148,"x33","Control"
"184","High",0,0,"x33","Control"
"185","High",0,0,"x33","Control"
"186","Low",0,0,"x33","Control"
"187","Low",0,0,"x33","Control"
"188","High",0,0,"x33","Control"
"189","High",0,0,"x33","Control"
"190","Low",0,0,"x33","Control"
"191","High",0,0,"x33","Control"
"192","Low",0,0,"x33","Control"
"193","Low",-7,3,"x34","Control"
"194","High",-4.66666667,2.98142397,"x34","Control"
