Column1,n_comp,freq,threshold,sd,subj,task,run
1341,1,Low,-14.625,2.00390244,x54,Control,11
1360,1,Low,-18.75,1.60078106,x54,Control,12
1304,1,High,0.625,1.80710404,x54,Control,7
1311,1,High,-7.25,2.35849528,x54,Control,8
1330,1,High,-5.0,2.06155281,x54,Control,9
1336,1,High,-7.375,1.66301684,x54,Control,10
1350,1,High,-2.75,1.19895788,x54,Control,11
1354,1,High,-7.0,1.22474487,x54,Control,12
106,3,Low,-9.625,1.66301684,x32,Control,7
116,3,Low,-7.5,2.43669859,x32,Control,8
124,3,Low,-4.75,0.8660254,x32,Control,9
137,3,Low,-8.0,1.3462912,x32,Control,10
141,3,Low,-8.625,0.80039053,x32,Control,11
158,3,Low,-6.125,0.80039053,x32,Control,12
109,3,High,-4.25,2.1937411,x32,Control,7
111,3,High,0.5,0.61237244,x32,Control,8
129,3,High,0.625,0.6731456,x32,Control,9
134,3,High,-2.25,2.31840462,x32,Control,10
149,3,High,-1.25,2.31840462,x32,Control,11
160,3,High,-1.0,1.5612495,x32,Control,12
224,3,Low,-14.125,0.375,x34,Control,7
233,3,Low,-11.5,1.78535711,x34,Control,8
247,3,Low,-11.125,1.125,x34,Control,9
253,3,Low,-14.0,0.93541435,x34,Control,10
261,3,Low,-15.0,1.6583124,x34,Control,11
273,3,Low,-14.875,0.375,x34,Control,12
227,3,High,-1.375,0.71807033,x34,Control,7
235,3,High,0.375,1.39754249,x34,Control,8
245,3,High,3.0,1.03077641,x34,Control,9
258,3,High,1.625,2.40117159,x34,Control,10
269,3,High,-3.75,1.41421356,x34,Control,11
272,3,High,-0.75,1.03077641,x34,Control,12
349,3,Low,-9.375,2.64870251,x40,Control,7
357,3,Low,-8.625,1.17924764,x40,Control,8
362,3,Low,-3.375,1.90804219,x40,Control,9
376,3,Low,-13.0,1.5612495,x40,Control,10
388,3,Low,-9.125,2.00390244,x40,Control,11
395,3,Low,-6.375,1.46308749,x40,Control,12
343,3,High,0.875,1.125,x40,Control,7
356,3,High,-7.125,0.80039053,x40,Control,8
370,3,High,-5.0,1.03077641,x40,Control,9
371,3,High,-6.75,1.6583124,x40,Control,10
387,3,High,-9.125,1.00778222,x40,Control,11
397,3,High,-8.125,0.375,x40,Control,12
466,3,Low,-3.625,0.83852549,x45,Control,7
480,3,Low,-7.25,0.55901699,x45,Control,8
486,3,Low,-10.375,1.28086885,x45,Control,9
499,3,Low,-5.875,0.71807033,x45,Control,10
502,3,Low,-10.375,0.375,x45,Control,11
514,3,Low,-8.5,0.61237244,x45,Control,12
467,3,High,3.375,1.17924764,x45,Control,7
473,3,High,-4.25,0.8291562,x45,Control,8
482,3,High,-8.0,2.31840462,x45,Control,9
497,3,High,-2.375,1.17924764,x45,Control,10
508,3,High,-5.75,0.55901699,x45,Control,11
520,3,High,-5.0,1.3462912,x45,Control,12
582,3,Low,-12.875,1.80710404,x46,Control,7
598,3,Low,-9.375,1.17924764,x46,Control,8
610,3,Low,-10.875,1.17924764,x46,Control,9
611,3,Low,-11.375,2.50312305,x46,Control,10
621,3,Low,-16.375,0.71807033,x46,Control,11
639,3,Low,-15.625,0.71807033,x46,Control,12
585,3,High,-4.375,1.77218086,x46,Control,7
592,3,High,-0.625,0.71807033,x46,Control,8
605,3,High,-4.75,0.96824584,x46,Control,9
613,3,High,1.75,0.8291562,x46,Control,10
629,3,High,1.75,0.55901699,x46,Control,11
638,3,High,0.625,0.6731456,x46,Control,12
701,3,Low,-9.5,1.3462912,x49,Control,7
715,3,Low,-6.125,0.91001374,x49,Control,8
721,3,Low,-10.375,1.28086885,x49,Control,9
732,3,Low,-8.0,1.6583124,x49,Control,10
744,3,Low,-4.125,1.17924764,x49,Control,11
757,3,Low,-3.75,0.55901699,x49,Control,12
705,3,High,3.875,0.9437293,x49,Control,7
714,3,High,9.25,0.61237244,x49,Control,8
728,3,High,2.0,2.20794022,x49,Control,9
737,3,High,6.125,1.77218086,x49,Control,10
746,3,High,4.0,1.47901995,x49,Control,11
754,3,High,1.0,1.03077641,x49,Control,12
829,3,Low,-4.25,1.03077641,x50,Control,7
832,3,Low,-6.75,0.55901699,x50,Control,8
844,3,Low,0.5,1.06066017,x50,Control,9
851,3,Low,-1.375,0.375,x50,Control,10
865,3,Low,0.0,0.55901699,x50,Control,11
879,3,Low,-3.0,1.47901995,x50,Control,12
824,3,High,2.25,0.93541435,x50,Control,7
834,3,High,-4.0,2.73861279,x50,Control,8
847,3,High,3.375,1.17924764,x50,Control,9
859,3,High,7.375,0.5153882,x50,Control,10
861,3,High,4.125,0.80039053,x50,Control,11
877,3,High,-1.25,0.55901699,x50,Control,12
947,3,Low,-10.25,0.8291562,x51,Control,7
954,3,Low,-6.75,0.55901699,x51,Control,8
967,3,Low,-10.0,1.36930639,x51,Control,9
980,3,Low,-5.625,0.6731456,x51,Control,10
983,3,Low,-4.125,0.80039053,x51,Control,11
992,3,Low,-11.875,0.71807033,x51,Control,12
950,3,High,-7.25,1.11803399,x51,Control,7
957,3,High,-10.5,1.11803399,x51,Control,8
968,3,High,-1.875,0.6731456,x51,Control,9
971,3,High,-8.25,0.55901699,x51,Control,10
985,3,High,-5.75,1.11803399,x51,Control,11
998,3,High,-1.75,0.61237244,x51,Control,12
1069,3,Low,-6.25,1.5612495,x52,Control,7
1077,3,Low,-5.875,0.71807033,x52,Control,8
1089,3,Low,-12.25,0.61237244,x52,Control,9
1099,3,Low,-8.875,0.9437293,x52,Control,10
1101,3,Low,-10.5,0.93541435,x52,Control,11
1114,3,Low,-7.0,1.83711731,x52,Control,12
1063,3,High,6.125,0.375,x52,Control,7
1071,3,High,-5.75,1.27475488,x52,Control,8
1087,3,High,-3.0,1.3462912,x52,Control,9
1095,3,High,-3.0,2.76134025,x52,Control,10
1102,3,High,3.0,1.41421356,x52,Control,11
1119,3,High,-4.5,0.55901699,x52,Control,12
1182,3,Low,-3.125,0.80039053,x53,Control,7
1200,3,Low,-3.875,0.80039053,x53,Control,8
1202,3,Low,-0.75,2.27760839,x53,Control,9
1218,3,Low,0.625,0.80039053,x53,Control,10
1227,3,Low,-5.25,0.93541435,x53,Control,11
1236,3,Low,-0.75,0.55901699,x53,Control,12
1187,3,High,-5.5,1.22474487,x53,Control,7
1191,3,High,3.75,1.11803399,x53,Control,8
1208,3,High,8.66666667,1.25554326,x53,Control,9
1216,3,High,5.25,0.55901699,x53,Control,10
1229,3,High,-3.5,2.31840462,x53,Control,11
1231,3,High,-1.25,1.27475488,x53,Control,12
1309,3,Low,-9.375,1.90804219,x54,Control,7
1320,3,Low,-9.75,1.19895788,x54,Control,8
1327,3,Low,-13.625,1.25623445,x54,Control,9
1337,3,Low,-11.125,1.28086885,x54,Control,10
1345,3,Low,-17.875,0.71807033,x54,Control,11
1358,3,Low,-11.75,2.54950976,x54,Control,12
1308,3,High,-0.75,1.76776695,x54,Control,7
1318,3,High,-1.125,1.46308749,x54,Control,8
1326,3,High,-2.75,1.03077641,x54,Control,9
1334,3,High,-8.625,1.46308749,x54,Control,10
1346,3,High,-1.25,1.11803399,x54,Control,11
1352,3,High,-4.75,2.20794022,x54,Control,12
101,5,Low,-9.375,1.46308749,x32,Control,7
113,5,Low,-5.875,0.71807033,x32,Control,8
130,5,Low,-3.75,2.62202212,x32,Control,9
140,5,Low,-5.375,0.80039053,x32,Control,10
148,5,Low,-3.0,1.03077641,x32,Control,11
153,5,Low,-5.5,1.5612495,x32,Control,12
102,5,High,-3.875,3.954823,x32,Control,7
120,5,High,13.0,0.0,x32,Control,8
128,5,High,5.45833333,2.05860322,x32,Control,9
139,5,High,2.0,2.29128785,x32,Control,10
142,5,High,7.875,0.91001374,x32,Control,11
157,5,High,13.0,0.0,x32,Control,12
223,5,Low,-10.125,0.80039053,x34,Control,7
239,5,Low,-10.875,0.5153882,x34,Control,8
244,5,Low,-10.0,0.96824584,x34,Control,9
252,5,Low,-8.25,2.58602011,x34,Control,10
268,5,Low,-17.25,2.47487373,x34,Control,11
280,5,Low,-20.75,0.93541435,x34,Control,12
222,5,High,4.0,2.47487373,x34,Control,7
238,5,High,5.25,2.01556444,x34,Control,8
249,5,High,-0.25,2.59807621,x34,Control,9
254,5,High,6.875,1.48429276,x34,Control,10
263,5,High,2.875,0.80039053,x34,Control,11
277,5,High,6.25,1.19895788,x34,Control,12
347,5,Low,-7.375,1.125,x40,Control,7
358,5,Low,-9.125,0.80039053,x40,Control,8
361,5,Low,-8.25,2.65753645,x40,Control,9
375,5,Low,-10.25,0.70710678,x40,Control,10
385,5,Low,-11.875,0.83852549,x40,Control,11
393,5,Low,-6.375,0.5153882,x40,Control,12
341,5,High,4.125,1.32876823,x40,Control,7
352,5,High,0.5,2.96858552,x40,Control,8
363,5,High,-0.125,2.34853678,x40,Control,9
372,5,High,1.125,0.80039053,x40,Control,10
382,5,High,-2.375,1.70018381,x40,Control,11
394,5,High,1.0,0.70710678,x40,Control,12
462,5,Low,-2.875,1.28086885,x45,Control,7
477,5,Low,-9.0,0.8291562,x45,Control,8
490,5,Low,-4.25,1.19895788,x45,Control,9
500,5,Low,-3.375,1.00778222,x45,Control,10
505,5,Low,-4.875,0.80039053,x45,Control,11
518,5,Low,-3.625,0.9437293,x45,Control,12
469,5,High,-1.375,3.14493641,x45,Control,7
472,5,High,0.125,0.375,x45,Control,8
488,5,High,3.125,0.71807033,x45,Control,9
495,5,High,1.75,1.60078106,x45,Control,10
507,5,High,-3.375,1.32876823,x45,Control,11
516,5,High,4.125,0.80039053,x45,Control,12
586,5,Low,-13.125,1.09687055,x46,Control,7
593,5,Low,-11.125,0.71807033,x46,Control,8
604,5,Low,-12.5,1.27475488,x46,Control,9
618,5,Low,-9.75,1.03077641,x46,Control,10
627,5,Low,-11.75,0.93541435,x46,Control,11
636,5,Low,-10.875,1.46308749,x46,Control,12
587,5,High,8.0,0.93541435,x46,Control,7
591,5,High,4.375,0.5153882,x46,Control,8
608,5,High,5.0,3.06186218,x46,Control,9
616,5,High,2.125,0.80039053,x46,Control,10
625,5,High,7.5,0.55901699,x46,Control,11
631,5,High,2.125,1.32876823,x46,Control,12
706,5,Low,-7.625,1.09687055,x49,Control,7
717,5,Low,-5.625,0.80039053,x49,Control,8
724,5,Low,-1.875,0.80039053,x49,Control,9
735,5,Low,-3.625,2.06533896,x49,Control,10
742,5,Low,-7.875,1.58607219,x49,Control,11
753,5,Low,-11.5,1.67705098,x49,Control,12
708,5,High,7.20833333,2.27951323,x49,Control,7
719,5,High,-4.125,4.44585481,x49,Control,8
722,5,High,13.0,0.0,x49,Control,9
738,5,High,13.0,0.0,x49,Control,10
749,5,High,9.125,0.80039053,x49,Control,11
760,5,High,-2.375,2.18303115,x49,Control,12
823,5,Low,1.0,1.19895788,x50,Control,7
838,5,Low,0.0,0.55901699,x50,Control,8
