Column1,n_comp,freq,threshold,sd,subj,task,order
139,9,Low,5.625,2.64870251,x25,Control,2
140,9,High,13.0,0.0,x25,Control,2
141,9,High,8.625,1.17924764,x25,Control,2
142,9,Low,3.375,1.32876823,x25,Control,2
143,9,High,13.0,0.0,x25,Control,2
144,9,Low,2.75,0.8660254,x25,Control,2
145,9,High,13.0,0.0,x28,Control,1
146,9,Low,-4.375,0.71807033,x28,Control,1
147,9,High,13.0,0.0,x28,Control,1
148,9,Low,2.125,1.32876823,x28,Control,1
149,9,High,6.5,1.62018517,x28,Control,1
150,9,Low,-5.0,1.27475488,x28,Control,1
151,9,Low,-3.125,2.05015243,x28,Control,1
152,9,High,9.16666667,1.01721297,x28,Control,1
153,9,Low,-8.375,2.00390244,x28,Control,1
154,9,High,13.0,0.0,x28,Control,1
155,9,Low,-10.875,1.52581945,x28,Control,1
156,9,High,13.0,0.0,x28,Control,1
157,9,High,6.375,0.80039053,x29,Control,2
158,9,Low,-3.25,2.63391344,x29,Control,2
159,9,High,13.0,0.0,x29,Control,2
160,9,Low,-9.875,1.80710404,x29,Control,2
161,9,High,4.5,1.76776695,x29,Control,2
162,9,Low,-5.0,0.8291562,x29,Control,2
163,9,High,6.83333333,1.69353345,x29,Control,2
164,9,Low,-6.125,1.80710404,x29,Control,2
165,9,Low,-5.0,0.55901699,x29,Control,2
166,9,High,3.25,2.62202212,x29,Control,2
167,9,High,4.375,1.80710404,x29,Control,2
168,9,Low,-6.0,0.55901699,x29,Control,2
169,9,Low,5.75,0.61237244,x32,Control,2
170,9,High,13.0,0.0,x32,Control,2
171,9,High,13.0,0.0,x32,Control,2
172,9,Low,0.25,1.27475488,x32,Control,2
173,9,High,13.0,0.0,x32,Control,2
174,9,Low,-0.625,2.23955911,x32,Control,2
175,9,Low,5.0,1.78535711,x32,Control,2
176,9,High,13.0,0.0,x32,Control,2
177,9,High,13.0,0.0,x32,Control,2
178,9,Low,5.25,1.11803399,x32,Control,2
